iso	language	script	split	verse_id	words	chars	tokens	tokens_per_word	single_char_token_pct	unk_tokens	degenerate	text	token_preview
bsn	Barasana-Eduria	Latin	train	b.MAT.12.20	19	173	99	5.211	46.465	0	no	Yu̶re quẽnaro ajitirũ̶nu̶menare, yu̶ bojarore bajiro yimasibeticõari, tu̶oĩasu̶tiritirãre quẽne mairu̶cu̶mi. Ĩnare ĩamaicõari, ‘Quẽnaro yu̶re ajitirũ̶nu̶ato ĩna’ yigu̶, ĩnare ejarẽmoru̶cu̶mi.	▁Yu ̶ re ▁qu ẽ na ro ▁a ji tir ũ ̶ nu ̶ men are , ▁y u ̶ ▁boja rore ▁baj iro ▁y imas ibe tic õ ari , ▁tu ̶ o ĩ asu ̶ ti riti rã re ▁qu ẽ ne ▁mai ru ̶ cu ̶ mi . ▁ Ĩ nare ▁ ĩ ama ic õ ari , ▁‘ Qu ẽ na ro ▁y u ̶ re ▁a ji tir ũ ̶ nu ̶ ato ▁ ĩ
bsn	Barasana-Eduria	Latin	train	b.MAT.7.19	10	91	52	5.200	36.538	0	no	Tocãrãca yucú̶rire, vãnu̶beticõari, rica quẽnabeti yucú̶rire quẽacõari, jeameju̶ soereacõare ñaroja.	▁To cã rã ca ▁y u cú ̶ ri re , ▁v ã nu ̶ be tic õ ari , ▁rica ▁qu ẽ na be ti ▁y u cú ̶ ri re ▁qu ẽ ac õ ari , ▁je ame ju ̶ ▁so ere ac õ are ▁ ña ro ja .
bsn	Barasana-Eduria	Latin	train	b.MAT.9.32	14	114	72	5.143	40.278	0	no	Ĩamena ñaboariarã ĩna budirirĩmarone, ejacama gãjerã, ñagõbecu̶re ãmiejarã, vãti ĩ u̶su̶ju̶re sãjacõari, ĩre ñagõrotibetir'ire.	▁ Ĩ a mena ▁ ña bo aria rã ▁ ĩ na ▁budi rir ĩ mar one , ▁e ja ca ma ▁gã jer ã , ▁ ña g õ be cu ̶ re ▁ ã mie ja rã , ▁v ã ti ▁ ĩ ▁u ̶ su ̶ ju ̶ re ▁s ã ja c õ ari , ▁ ĩ re ▁ ña g õr oti be tir ' ire .
bsn	Barasana-Eduria	Latin	train	b.MAT.12.35	16	121	79	4.938	51.899	0	no	Quẽnagũ̶ma, quẽnaro tu̶oĩagũ̶ ñagũ̶mi. To bajiri quẽnase ñagõgũ̶mi. Rojogu̶ju̶ama, rojose tu̶oĩagũ̶ ñagũ̶mi. To bajiri rojose ñagõgũ̶mi.	▁Qu ẽ nag ũ ̶ ma , ▁qu ẽ na ro ▁tu ̶ o ĩ ag ũ ̶ ▁ ña g ũ ̶ mi . ▁To ▁b ajiri ▁qu ẽ na se ▁ ña g õ g ũ ̶ mi . ▁Ro jo gu ̶ ju ̶ ama , ▁roj ose ▁tu ̶ o ĩ ag ũ ̶ ▁ ña g ũ ̶ mi . ▁To ▁b ajiri ▁roj ose ▁ ña g õ g ũ ̶ mi .
bsn	Barasana-Eduria	Latin	train	b.MAT.7.8	13	102	64	4.923	48.438	0	no	“Dios manire ejarẽmoru̶cu̶mi” yitu̶oĩarã ñari, ĩre ĩna sẽnisere ĩnare cõaru̶cu̶mi. Ĩna macajaquẽne, bu̶jaru̶arãma.	▁“ D ios ▁man ire ▁e jar ẽ mor u ̶ cu ̶ mi ” ▁y itu ̶ o ĩ ar ã ▁ ña ri , ▁ ĩ re ▁ ĩ na ▁sẽ n isere ▁ ĩ nare ▁c õ aru ̶ cu ̶ mi . ▁ Ĩ na ▁maca ja qu ẽ ne , ▁bu ̶ jar u ̶ ar ã ma .
chr	Cherokee	Cherokee	train	b.MAT.7.7	9	43	24	2.667	25.000	0	no	ᎢᏥᏔᏲᎭ, ᎠᏎ ᏓᏰᏥᏁᎵ; ᎢᏥᏲᎦ, ᎠᏎ ᏓᏥᏩᏛᎯ; ᎢᏨᏂᎦ, ᎠᏎ ᏓᏰᏥᏍᏚᎢᎡᎵ.	▁ ᎢᏥᏔᏲᎭ , ▁ ᎠᏎ ▁ ᏓᏰᏥᏁᎵ ; ▁ ᎢᏥᏲᎦ , ▁ ᎠᏎ ▁ ᏓᏥᏩᏛᎯ ; ▁ ᎢᏨᏂᎦ , ▁ ᎠᏎ ▁ ᏓᏰᏥᏍᏚᎢᎡᎵ .
chr	Cherokee	Cherokee	train	b.MAT.8.25	8	52	21	2.625	23.810	0	no	ᎬᏩᏍᏓᏩᏗᏙᎯᏃ ᎬᏩᎷᏤᎴ ᎬᏩᏰᏍᏔᏁᎢ, ᎯᎠ ᏂᎬᏩᏪᏎᎴᎢ; ᏣᎬᏫᏳᎯ, ᏍᎩᏍᏕᎸ, ᏓᏲᏣᏗᏒᏂᏉ.	▁ ᎬᏩᏍᏓᏩᏗᏙᎯᏃ ▁ ᎬᏩᎷᏤᎴ ▁ ᎬᏩᏰᏍᏔᏁᎢ , ▁ ᎯᎠ ▁ ᏂᎬᏩᏪᏎᎴᎢ ; ▁ ᏣᎬᏫᏳᎯ , ▁ ᏍᎩᏍᏕᎸ , ▁ ᏓᏲᏣᏗᏒᏂᏉ .
chr	Cherokee	Cherokee	train	b.MAT.11.26	5	21	13	2.600	23.077	0	no	ᎥᎥ, ᎡᏙᏓ, ᎾᏍᎩᏰᏃ ᎣᏏᏳ ᏣᏰᎸᏅᎯ.	▁ ᎥᎥ , ▁ ᎡᏙᏓ , ▁ ᎾᏍᎩᏰᏃ ▁ ᎣᏏᏳ ▁ ᏣᏰᎸᏅᎯ .
chr	Cherokee	Cherokee	train	b.MAT.9.17	21	113	54	2.571	16.667	0	no	ᎥᏝ ᎠᎴ ᎢᏤ ᎩᎦᎨ-ᎠᏗᏔᏍᏗ ᏧᏪᏘ ᏗᏑᏢᏛ ᏱᏓᏂᏟᏍᏗᏍᎪᎢ; ᏗᏑᏢᏛᏰᏃ ᏱᏓᏓᏣᎦᎸ, ᎠᎴ ᎩᎦᎨ-ᎠᏗᏔᏍᏗ ᏯᏤᏬᎩ, ᏗᏑᏢᏛᏃ ᏱᏓᏲᎩ. ᎢᏤᏍᎩᏂ ᎩᎦᎨ-ᎠᏗᏔᏍᏗ ᏗᏤ ᏗᏑᏢᏛ ᏓᏂᏟᏍᏗᏍᎪᎢ, ᎢᏧᎳᏃ ᏚᏂᏍᏆᏂᎪᏙᎢ.	▁ ᎥᏝ ▁ ᎠᎴ ▁ ᎢᏤ ▁ ᎩᎦᎨ - ᎠᏗᏔᏍᏗ ▁ ᏧᏪᏘ ▁ ᏗᏑᏢᏛ ▁ ᏱᏓᏂᏟᏍᏗᏍᎪᎢ ; ▁ ᏗᏑᏢᏛᏰᏃ ▁ ᏱᏓᏓᏣᎦᎸ , ▁ ᎠᎴ ▁ ᎩᎦᎨ - ᎠᏗᏔᏍᏗ ▁ ᏯᏤᏬᎩ , ▁ ᏗᏑᏢᏛᏃ ▁ ᏱᏓᏲᎩ . ▁ ᎢᏤᏍᎩᏂ ▁ ᎩᎦᎨ - ᎠᏗᏔᏍᏗ ▁ ᏗᏤ ▁ ᏗᏑᏢᏛ ▁ ᏓᏂᏟᏍᏗᏍᎪᎢ , ▁ ᎢᏧᎳᏃ ▁ ᏚᏂᏍᏆᏂᎪᏙᎢ .
chr	Cherokee	Cherokee	train	b.MAT.9.24	9	49	23	2.556	21.739	0	no	ᎯᎠ ᏂᏚᏪᏎᎸᎩ; ᎢᏣᏓᏅᎾ, ᎾᎪᏃ ᎤᏲᎱᏒᎯ ᏱᎩ ᎠᎨᏳᏣ; ᎦᎵᎭᏉᏍᎩᏂ. ᎥᎬᏩᏰᏣᏍᏔᏅᏉᏃ.	▁ ᎯᎠ ▁ ᏂᏚᏪᏎᎸᎩ ; ▁ ᎢᏣᏓᏅᎾ , ▁ ᎾᎪᏃ ▁ ᎤᏲᎱᏒᎯ ▁ ᏱᎩ ▁ ᎠᎨᏳᏣ ; ▁ ᎦᎵᎭᏉᏍᎩᏂ . ▁ ᎥᎬᏩᏰᏣᏍᏔᏅᏉᏃ .
cop	Coptic	Coptic	train	b.MAT.7.1	4	31	9	2.250	11.111	0	no	ⲘⲠⲈⲢϮϨⲀⲠ ϨⲒⲚⲀ ⲚⲦⲞⲨϢⲦⲈⲘϮϨⲀⲠ ⲈⲢⲰⲦⲈⲚ.	▁ ⲘⲠⲈⲢϮϨⲀⲠ ▁ ϨⲒⲚⲀ ▁ ⲚⲦⲞⲨϢⲦⲈⲘϮϨⲀⲠ ▁ ⲈⲢⲰⲦⲈⲚ .
cop	Coptic	Coptic	train	b.MAT.7.20	4	34	9	2.250	11.111	0	no	ϨⲀⲢⲀ ⲈⲂⲞⲖ ϦⲈⲚⲚⲞⲨⲞⲨⲦⲀϨ ⲈⲢⲈⲦⲈⲚⲈⲤⲞⲨⲰⲚⲞⲨ.	▁ ϨⲀⲢⲀ ▁ ⲈⲂⲞⲖ ▁ ϦⲈⲚⲚⲞⲨⲞⲨⲦⲀϨ ▁ ⲈⲢⲈⲦⲈⲚⲈⲤⲞⲨⲰⲚⲞⲨ .
cop	Coptic	Coptic	train	b.MAT.12.21	4	30	9	2.250	11.111	0	no	ⲞⲨⲞϨ ⲚⲒⲈⲐⲚⲞⲤ ⲈⲨⲈⲈⲢϨⲈⲖⲠⲒⲤ ⲈⲠⲈϤⲢⲀⲚ.	▁ ⲞⲨⲞϨ ▁ ⲚⲒⲈⲐⲚⲞⲤ ▁ ⲈⲨⲈⲈⲢϨⲈⲖⲠⲒⲤ ▁ ⲈⲠⲈϤⲢⲀⲚ .
cop	Coptic	Coptic	train	b.MAT.10.36	5	30	11	2.200	18.182	0	no	ⲞⲨⲞϨ ⲚⲈⲚϪⲀϪⲒ ⲘⲠⲒⲢⲰⲘⲒ ⲚⲈⲚⲈϤⲢⲈⲘⲚⲎ Ⲓ.	▁ ⲞⲨⲞϨ ▁ ⲚⲈⲚϪⲀϪⲒ ▁ ⲘⲠⲒⲢⲰⲘⲒ ▁ ⲚⲈⲚⲈϤⲢⲈⲘⲚⲎ ▁ Ⲓ .
cop	Coptic	Coptic	train	b.MAT.3.8	5	34	11	2.200	9.091	0	no	ⲀⲢⲒⲞⲨⲒ ⲞⲨⲚ ⲚⲞⲨⲞⲨⲦⲀϨ ⲈϤⲘⲠϢⲀ ⲚϮⲘⲈⲦⲀⲚⲞⲒⲀ.	▁ ⲀⲢⲒⲞⲨⲒ ▁ ⲞⲨⲚ ▁ ⲚⲞⲨⲞⲨⲦⲀϨ ▁ ⲈϤⲘⲠϢⲀ ▁ ⲚϮⲘⲈⲦⲀⲚⲞⲒⲀ .
kbh	Camsa	Latin	train	b.MAT.10.17	14	161	78	5.571	28.205	0	no	Ents̈angbiama cuedado s̈mochtsebomna, chëngbe pueblents̈a amë́ndayëngbe cucuats̈iñe ts̈ëngaftanga cmochanjábashejuana y chëngbe enefjuana yebnënguenache cmochanjátsets̈enaye.	▁Ent s ̈ ang bia ma ▁cu ed ado ▁s ̈ m ocht se bom na , ▁ch ën g be ▁pu e ble nts ̈ a ▁a më ́ nda y ën g be ▁cu cu ats ̈ i ñe ▁ts ̈ ën ga ft anga ▁cm och an jába she ju ana ▁y ▁ch ën g be ▁en ef ju ana ▁ye bn ën guen ache ▁cm och an ját set s ̈ en aye .
kbh	Camsa	Latin	train	b.MAT.5.46	16	178	88	5.500	34.091	0	no	Ts̈ëngaftanga nÿe chë ts̈ëngaftanga tcmojtsababuánÿeshanënga s̈mojtsababuánÿeshanëse, ¿Bëngbe Bëtsábiocana ndayá s̈mochjuacaná? Romocama crocénana ents̈ángbioye atjanayë́ngnaca chca monduamana.	▁T s ̈ ën ga ft anga ▁n ÿ e ▁ch ë ▁ts ̈ ën ga ft anga ▁t cm oj t saba bu án ÿ esha në nga ▁s ̈ moj t saba bu án ÿ es han ëse , ▁¿ B ën g be ▁B ët sá bio cana ▁n day á ▁s ̈ mo ch ju aca ná ? ▁Rom oca ma ▁croc én ana ▁en ts ̈ áng bio ye ▁at jana y ë ́ ng
kbh	Camsa	Latin	train	b.MAT.5.44	12	114	61	5.083	47.541	0	no	Pero ats̈e cbë́yana: Ts̈ëngaftangbe uayayënga s̈mochtsababuánÿeshana, y chë cmë́camenëngbiama Bëngbe Bëtsá s̈mochtseimpadana.	▁Pero ▁at s ̈ e ▁c b ë ́ yana : ▁T s ̈ ën ga ft ang be ▁u ayay ën ga ▁s ̈ m ocht saba bu án ÿ es hana , ▁y ▁ch ë ▁cm ë ́ cam en ën g bia ma ▁B ën g be ▁B ët sá ▁s ̈ m ocht se impa dana .
kbh	Camsa	Latin	train	b.MAT.10.9	4	41	20	5.000	35.000	0	no	“Ndoñe s̈mattsambaye crocénana uasnanëchiñe.	▁“ N do ñe ▁s ̈ mat t samba ye ▁croc én ana ▁u as na në chi ñe .
kbh	Camsa	Latin	train	b.MAT.10.20	14	141	70	5.000	25.714	0	no	Ts̈ëngaftanga ndoñe chë oyebuambnayënga ques̈mochátsmëna, sinó chë ts̈ëngaftangbe Taitá, Bëngbe Bëtsabe Espíritu, ts̈ëngaftangbiajana echantsóyebuambnaye.	▁T s ̈ ën ga ft anga ▁ ndo ñe ▁ch ë ▁o ye bu amb nay ën ga ▁que s ̈ mo chá ts më na , ▁sinó ▁ch ë ▁ts ̈ ën ga ft ang be ▁Tai tá , ▁B ën g be ▁B ët sa be ▁Es pír itu , ▁ts ̈ ën ga ft ang bia jana ▁e chant só ye bu amb na ye .
nhg	Nahuatl (Tetelcingo)	Latin	train	b.MAT.8.25	10	100	46	4.600	34.783	0	no	Quemaj on inomachtijcahuan oquitlachaltitoj, niman oquijlijquej: ―¡ToTeco, xtechmaquixti! ¡Ye tiamimictoquej!	▁Quem aj ▁on ▁inom acht ij ca huan ▁o qui tla chal ti toj , ▁ni man ▁o qui j li j que j : ▁― ¡ To Te co , ▁x tech ma qui x ti ! ▁¡ Ye ▁tiam imi cto que j !
nhg	Nahuatl (Tetelcingo)	Latin	train	b.MAT.14.18	4	38	18	4.500	38.889	0	no	Jesús oquimijlij: ―Xnechajcuilican nican.	▁Jesús ▁o qui mi j li j : ▁― X nec haj cu ili can ▁nic an .
nhg	Nahuatl (Tetelcingo)	Latin	train	b.MAT.5.43	10	88	43	4.300	34.884	0	no	'No ijqui onencacquej ica onijtoj: “Xtlajsojtla motetlajsojcau niman xtlahuelita motlahuelicniu.”	▁' No ▁i j qui ▁on enca c que j ▁ ica ▁o nij toj : ▁“ X t laj s oj tla ▁mot et laj s oj ca u ▁ni man ▁x t lah uel ita ▁mot lah uel ic niu .”
nhg	Nahuatl (Tetelcingo)	Latin	train	b.MAT.13.51	11	95	47	4.273	42.553	0	no	Quemaj Jesús oquintlajtoltij: ―¿Nencajsicamatij nochi yejhua in? Yejhuamej oquijtojquej: ―Quemaj, toTeco.	▁Quem aj ▁Jesús ▁o quin t laj tol ti j : ▁― ¿ N en caj s icama ti j ▁noch i ▁y ej hua ▁in ? ▁Y ej hu am ej ▁o qui j toj que j : ▁― Que maj , ▁to Te co .
nhg	Nahuatl (Tetelcingo)	Latin	train	b.MAT.9.31	9	84	38	4.222	31.579	0	no	Pero yejhuamej ohuajquisquej, oquitetlajtlajtohuilijquej nochihuiyan on tlen Jesús oquichiu.	▁Pero ▁y ej hu am ej ▁o hu aj quis que j , ▁o qui tet laj t laj to hui li j que j ▁noch i hu iyan ▁on ▁ tlen ▁Jesús ▁o qui chi u .
oji	Ojibwa	Aboriginal Syllabics	train	b.MAT.6.17	8	31	20	2.500	20.000	0	no	ᑮᓐ ᐃᑕᔥ ᐐᓐ, ᐊᐲ ᑮᐅᒋ ᐐᓯᓯᐗᓐ, ᑭᓰᔩᑴᓐ, ᐱᓈᑴᐅᓐ,	▁ ᑮᓐ ▁ ᐃᑕᔥ ▁ ᐐᓐ , ▁ ᐊᐲ ▁ ᑮᐅᒋ ▁ ᐐᓯᓯᐗᓐ , ▁ ᑭᓰᔩᑴᓐ , ▁ ᐱᓈᑴᐅᓐ ,
oji	Ojibwa	Aboriginal Syllabics	train	b.MAT.15.10	10	44	24	2.400	16.667	0	no	ᒋᓴᔅ ᐃᑕᔥ ᐅᑮ ᑲᓅᓈᐞ ᐊᐎᔭᐞ ᒋᓈᓯᑳᑯᒡ, ᐁᑮᐃᓈᒡ: ᐱᓯᑕᒧᒃ, ᓂᓯᑐᑕᒧᒃ ᐅᐅ!	▁ ᒋᓴᔅ ▁ ᐃᑕᔥ ▁ ᐅᑮ ▁ ᑲᓅᓈᐞ ▁ ᐊᐎᔭᐞ ▁ ᒋᓈᓯᑳᑯᒡ , ▁ ᐁᑮᐃᓈᒡ : ▁ ᐱᓯᑕᒧᒃ , ▁ ᓂᓯᑐᑕᒧᒃ ▁ ᐅᐅ !
oji	Ojibwa	Aboriginal Syllabics	train	b.MAT.9.5	11	61	26	2.364	15.385	0	no	ᐋᓃᓐ ᐃᐃᐌ ᑫᐌᑕᑭᐸᓐ ᒋᐃᑭᑐᔮᐹᓐ? ᐴᓀᒋᑳᑌᐗᓐ ᑭᒪᒋᑑᑕᒧᐎᓇᓐ, ᒫᑭᔖ ᑲᔦ ᒋᐃᑭᑐᔮᐹᓐ: ᐸᓯᑸᓐ ᒋᐱᒧᓭᔭᓐ?	▁ ᐋᓃᓐ ▁ ᐃᐃᐌ ▁ ᑫᐌᑕᑭᐸᓐ ▁ ᒋᐃᑭᑐᔮᐹᓐ ? ▁ ᐴᓀᒋᑳᑌᐗᓐ ▁ ᑭᒪᒋᑑᑕᒧᐎᓇᓐ , ▁ ᒫᑭᔖ ▁ ᑲᔦ ▁ ᒋᐃᑭᑐᔮᐹᓐ : ▁ ᐸᓯᑸᓐ ▁ ᒋᐱᒧᓭᔭᓐ ?
oji	Ojibwa	Aboriginal Syllabics	train	b.MAT.11.4	11	45	26	2.364	15.385	0	no	ᒋᓴᔅ ᑕᔥ ᐅᑮᐃᓈᐞ: ᒫᒑᒃ, ᑮᐌᒃ, ᐐᑕᒪᐎᒃ ᒞᓐ ᐌᑯᓀᓐ ᑳᓅᑕᒣᒃ, ᑳᐙᐸᑕᒣᒃ ᑲᔦ᙮	▁ ᒋᓴᔅ ▁ ᑕᔥ ▁ ᐅᑮᐃᓈᐞ : ▁ ᒫᒑᒃ , ▁ ᑮᐌᒃ , ▁ ᐐᑕᒪᐎᒃ ▁ ᒞᓐ ▁ ᐌᑯᓀᓐ ▁ ᑳᓅᑕᒣᒃ , ▁ ᑳᐙᐸᑕᒣᒃ ▁ ᑲᔦ᙮
oji	Ojibwa	Aboriginal Syllabics	train	b.MAT.14.27	11	43	26	2.364	15.385	0	no	ᒋᓴᔅ ᐃᑕᔥ ᔐᒫᒃ ᐅᑮ ᑲᓅᓈᐞ: ᒪᔥᑲᐌᑕᒧᒃ! ᓃᓐ ᐅᔕ! ᑫᑯ ᓭᑭᓯᑫᒃ, ᐅᑮᐃᓈᐞ᙮	▁ ᒋᓴᔅ ▁ ᐃᑕᔥ ▁ ᔐᒫᒃ ▁ ᐅᑮ ▁ ᑲᓅᓈᐞ : ▁ ᒪᔥᑲᐌᑕᒧᒃ ! ▁ ᓃᓐ ▁ ᐅᔕ ! ▁ ᑫᑯ ▁ ᓭᑭᓯᑫᒃ , ▁ ᐅᑮᐃᓈᐞ᙮
syr	Syriac	Syriac	train	b.MAT.5.4	4	25	28	7.000	82.143	0	no	ܛܘܒܝܗܘܢ ܠܐܒܝܠܐ ܕܗܢܘܢ ܢܬܒܝܐܘܢ	▁ ܛ ܘ ܒ ܝ ܗ ܘ ܢ ▁ ܠ ܐ ܒ ܝ ܠ ܐ ▁ ܕ ܗܢ ܘ ܢ ▁ ܢ ܬ ܒ ܝ ܐ ܘ ܢ
syr	Syriac	Syriac	train	b.MAT.13.16	7	43	48	6.857	81.250	0	no	ܕܝܠܟܘܢ ܕܝܢ ܛܘܒܝܗܝܢ ܠܥܝܢܝܟܘܢ ܕܚܙܝܢ ܘܠܐܕܢܝܟܘܢ ܕܫܡܥܢ	▁ ܕ ܝ ܠ ܟ ܘ ܢ ▁ ܕ ܝ ܢ ▁ ܛ ܘ ܒ ܝ ܗ ܝ ܢ ▁ ܠ ܥ ܝ ܢ ܝ ܟ ܘ ܢ ▁ ܕ ܚܙ ܝ ܢ ▁ ܘ ܠ ܐ ܕ ܢ ܝ ܟ ܘ ܢ ▁ ܕ ܫ ܡ ܥܢ
syr	Syriac	Syriac	train	b.MAT.5.7	5	30	34	6.800	82.353	0	no	ܛܘܒܝܗܘܢ ܠܡܪܚܡܢܐ ܕܥܠܝܗܘܢ ܢܗܘܘܢ ܪܚܡܐ	▁ ܛ ܘ ܒ ܝ ܗ ܘ ܢ ▁ ܠ ܡ ܪ ܚ ܡ ܢ ܐ ▁ ܕ ܥ ܠ ܝ ܗ ܘ ܢ ▁ ܢܗ ܘ ܘ ܢ ▁ ܪ ܚ ܡ ܐ
syr	Syriac	Syriac	train	b.MAT.5.5	5	29	33	6.600	81.818	0	no	ܛܘܒܝܗܘܢ ܠܡܟܝܟܐ ܕܗܢܘܢ ܢܐܪܬܘܢ ܠܐܪܥܐ	▁ ܛ ܘ ܒ ܝ ܗ ܘ ܢ ▁ ܠ ܡ ܟ ܝ ܟ ܐ ▁ ܕ ܗܢ ܘ ܢ ▁ ܢ ܐ ܪ ܬ ܘ ܢ ▁ ܠ ܐ ܪ ܥ ܐ
syr	Syriac	Syriac	train	b.MAT.5.10	9	49	58	6.444	84.483	0	no	ܛܘܒܝܗܘܢ ܠܐܝܠܝܢ ܕܐܬܪܕܦܘ ܡܛܠ ܟܐܢܘܬܐ ܕܕܝܠܗܘܢ ܗܝ ܡܠܟܘܬܐ ܕܫܡܝܐ	▁ ܛ ܘ ܒ ܝ ܗ ܘ ܢ ▁ ܠ ܐ ܝ ܠ ܝ ܢ ▁ ܕ ܐ ܬ ܪ ܕ ܦ ܘ ▁ ܡ ܛ ܠ ▁ ܟ ܐ ܢ ܘ ܬ ܐ ▁ ܕ ܕ ܝ ܠ ܗ ܘ ܢ ▁ ܗ ܝ ▁ ܡ ܠ ܟ ܘ ܬ ܐ ▁ ܕ ܫ ܡ ܝ ܐ
usp	Uspanteco	Latin	train	b.MAT.9.21	13	82	46	3.538	47.826	0	no	jwiˈl xchomorsaj laj ranm: Riqˈuilke wi xincwin chi jchapic raquitz ritzˈik intzibˈiˈn, xcheˈ.	▁j wi ˈ l ▁x cho mor s aj ▁la j ▁ran m : ▁Ri q ˈ ui lke ▁wi ▁xin c win ▁chi ▁j cha pic ▁ra qui tz ▁ ritz ˈ ik ▁in t zib ˈ i ˈ n , ▁x che ˈ .
