artifact_id	relative_path	role	status	bytes	sha256
deck_source_ko	4_reporting/02_slides/final_deck_ko.md	canonical Korean deck source	ready	9241	788ee2a6df004c2327d181b3cedf038ad2cff967f48a4e62309c06b362c64b92
deck_html_ko	4_reporting/02_slides/v5_final_deck_ko.html	browser rehearsal deck	ready	16259	4f7a2a2aa2146e74b8f713fcd1cdfa61c80a81b4c07be30c947d284a1ec75aac
deck_pptx_ko	4_reporting/02_slides/v5_final_deck_ko.pptx	PowerPoint handoff deck	ready	30236	40b953c9caee02c20ae45501c76ee2b7853aaff0108097731cdac841fce65e44
deck_pdf_ko	4_reporting/02_slides/v5_final_deck_ko.pdf	shareable deck PDF	ready	80525	7075b17348889740ddf4486b28cdbcb7ffaffcf1cd796e144399e5b1aa8b9f11
presenter_script_ko	4_reporting/02_slides/presenter_script_ko.md	Korean spoken script	ready	18148	5d4f5c1639b9b8dc55b893a5aa1891c29d3013c990ce0edd911a17ec22541992
rehearsal_plan_ko	4_reporting/02_slides/rehearsal_plan_ko.md	Korean rehearsal timing plan	ready	10075	ce2bda0613058c92765e973beb4be21bdb62aab80a6b9e9356f3634e7d39b47d
slide_claim_checklist	4_reporting/02_slides/slide_claim_checklist.md	slide-level claim lock checklist	ready	3310	a158ff7902d901dba1bfd9bc6cfad5b1ad91b3a5568b20fe922ca6c7153f16f7
slide_completion_matrix	4_reporting/02_slides/slide_completion_matrix.md	slide-level completion and finalization gates	ready	5878	87796a004f0ccfea31c8d86791d775a550381c030410d7b6879e641b51280f8b
deck_build_spec	4_reporting/02_slides/deck_build_spec.md	deck assembly and rebuild specification	ready	8801	c6a286b0c8b05005fd8a05aff4b15b185876c50ae505d0899e1897e439f9c0d9
slide_asset_manifest	4_reporting/02_slides/slide_asset_manifest.md	slide-to-asset/source manifest	ready	7318	4d008542f2110bd055800f659089130bd1f6a3dc714dc8581dcbb9e7954ef440
slide_asset_manifest_tsv	4_reporting/02_slides/slide_asset_manifest.tsv	Machine-readable slide asset manifest	ready	6465	b8526ae135cbb06a770f66fdcb25155ad1fea532eb77b115f37ab9260f56b41b
slide_citation_map	4_reporting/02_slides/slide_citation_map.md	slide-level citation and local-evidence boundary map	ready	3993	42fc5c1833263fd0a963136aa4a1303ae9dd915d16efd67a8b13b1dc838f4857
defense_qa_ko	4_reporting/02_slides/defense_qa_ko.md	Korean presentation Q&A card	ready	13909	c0fa2f7a3c7d07c8e102f2f5089e0f034bfeab4142d6af42470cd191f7251d36
defense_qa_en	4_reporting/02_slides/defense_qa.md	English presentation Q&A	ready	11637	9baf07b6582ef91513f538f08cb6bfde8d5aabdc88125de4b2a177ca81f80028
novelty_defense_matrix_ko	4_reporting/02_slides/novelty_defense_matrix_ko.md	Korean novelty/reproduction defense matrix	ready	8651	985bcf0634b9f27eaaf2d8a757db4c0f4003880278f2624c3f3f6b54273bcfe0
one_page_summary_ko	4_reporting/one_page_summary_ko.md	Korean one-page summary	ready	9170	2d6eeee228e55429a49116bb9f4046fa91e982a35871cf02caadee7c9da0ea18
presentation_readiness_checklist_ko	4_reporting/presentation_readiness_checklist_ko.md	Korean five-minute pre-talk readiness checklist	ready	4904	2e73eafaa38745016699219da9bc520b0931ba8e26546e6d5eb390988c4f2ab2
submission_file_index_ko	4_reporting/submission_file_index_ko.md	Korean submission and presentation file index	ready	5632	ed360a4f671465d85b201c6601858a0738d5c6466967135983a1389068fae0f6
reviewer_response_crosswalk_ko	4_reporting/reviewer_response_crosswalk_ko.md	Korean reviewer/presentation question-to-evidence crosswalk	ready	7985	5c3315e0fb746c1287ac36a6c04cffc7cc2d28d6acd88bafbb56bffffb30e9ea
final_submission_handoff_ko	4_reporting/final_submission_handoff_ko.md	Korean final assembly handoff	ready	11043	30910114351a883b4e5dac1ea3910f94158e9cf028f16685d5018525b832d30a
objective_requirement_trace_ko	4_reporting/objective_requirement_trace_ko.md	Korean goal requirement readiness trace	ready	9528	b853d3478d0601fbc3823470f7795e72ccb6444db801560132ea18bd65c72ee9
objective_requirement_trace_ko_tsv	4_reporting/objective_requirement_trace_ko.tsv	Machine-readable Korean goal requirement trace	ready	7883	d6f67afce1d9cc95f1c2aac57fb42e003d022048c86580c2863e8cd3e47c9c3f
objective_completion_audit	4_reporting/objective_completion_audit.md	strict active-goal completion audit	ready	10369	1916e82839b099cb5a912d4e414fb211f4466663bd8a3d68dd2dbda6e86e1378
objective_completion_audit_tsv	4_reporting/objective_completion_audit.tsv	Machine-readable active-goal completion audit	ready	9098	b2fd8b8255526584349993044056b4a55cd92ca8008b9878816901272a5864ef
goal_readiness	goal_readiness.md	top-level v5 execution readiness audit	ready	5628	f609751b1a42f86ddfa14156ea43183246661efdb098a982baf81123106bda76
goal_readiness_tsv	goal_readiness.tsv	Machine-readable top-level v5 execution readiness audit	ready	3269	ecfcc138bb6422168dd9e1559c872b433959e037908c54112ecef4d0415dbeda
folder_readme_audit	folder_readme_audit.md	per-folder README and next-step audit	ready	19870	a0d15a8a5c0e288328302c53cc0358d94c935af139cc784e0e33b9d6a2203bdc
folder_readme_audit_tsv	folder_readme_audit.tsv	Machine-readable per-folder README audit	ready	17876	15e25b110cc4e875c1e74f1089cb537b7e3ec694a8e02b30be193f77667852fe
final_action_dashboard_ko	4_reporting/final_action_dashboard_ko.md	Korean final next-action dashboard	ready	10092	7724b9b817b80b91bfc06252bf071215bbffc9561415cbe52971f0794942e0f9
final_action_dashboard_ko_tsv	4_reporting/final_action_dashboard_ko.tsv	Machine-readable final next-action dashboard	ready	7790	1ee4ec84443c1d27e028c807934a3ec61d8e688fe5ad0b23e243080756a70102
final_assembly_manifest	4_reporting/final_assembly_manifest.md	final report/PPT assembly manifest	ready	3934	962b8bfac3bad5df1071a40ef0216d49c341c867bc1c42c4417ca2d6ba6fcee8
final_assembly_manifest_tsv	4_reporting/final_assembly_manifest.tsv	Machine-readable final assembly manifest	ready	3004	86e325b743d4ca1a6a2c5b7f51407ca1ee158aea3f0741550b0d5736cace2dc2
final_claim_decision_tree	4_reporting/final_claim_decision_tree.md	generated final conclusion decision tree	ready	2867	fef6f90b0c5e21123690f42216cd629408b7e5a2c9a5b09f387199fb91a53987
final_claim_decision_tree_tsv	4_reporting/final_claim_decision_tree.tsv	Machine-readable final conclusion decision tree	ready	2559	5d4726865ed1b060655b15e08772004ad1614631cb033ef2b4fd235ac65b9b08
claim_promotion_matrix	4_reporting/claim_promotion_matrix.md	claim-to-gate promotion matrix	ready	4416	75b5be9b6342f7bac2dd4a1d13dc707ede1d69051e29002419eee11c255979fa
claim_promotion_matrix_tsv	4_reporting/claim_promotion_matrix.tsv	Machine-readable claim promotion matrix	ready	3459	e6b7da69a9e88309145e436a368f14d4b59d934e38541330ab3002207db4b877
post_checkpoint_outcome_matrix_ko	4_reporting/post_checkpoint_outcome_matrix_ko.md	Korean post-checkpoint outcome matrix	ready	11938	2309d3456dd488d64af5ea123457020052f0b8393c92021d4b4fdafaae3a50f5
post_result_patch_plan_ko	4_reporting/post_result_patch_plan_ko.md	Korean file-by-file post-result report/PPT patch plan	ready	11971	2f4f4ce6c0ab92351aedf151044eee3e988c690ed26a43356256a462b6a0669b
post_result_patch_plan_tsv	4_reporting/post_result_patch_plan.tsv	Machine-readable post-result report/PPT patch plan	ready	8463	2afbce25c822f2dcc11e280c1544f30275e1605479889cde1054e65ac9d378fd
final_freeze_protocol_ko	4_reporting/final_freeze_protocol_ko.md	Korean freeze protocol	ready	9817	06d5aeb00cbbd7e0796c9b261383abd2e02d07b24c8e543a10be5d88cb10accc
final_freeze_evidence_checklist_ko	4_reporting/final_freeze_evidence_checklist_ko.md	Korean final freeze evidence checklist	ready	4643	d454a68cd3844de4dd7d9062f4d037caad1c727b925ef368aba7e53bdddebc67
result_delay_contingency_ko	4_reporting/result_delay_contingency_ko.md	Korean execution-draft result-delay contingency	ready	5752	a51c54422de23e8ec7e1e90275f94957cc15a87cac0287bc31e1d75433c4e0b0
metric_mapping	3_evaluation/metric_mapping.md	Glot500 metric-to-wrapper/evaluator mapping	ready	6380	0b8f9550155b855a018a868159513ab442d9ad7267da489a093ccc72e4c2f509
glot500_metric_requirements	3_evaluation/glot500_metric_requirements.md	retained Glot500 metric-family requirements	ready	4173	f3b7808e4360f8e73de04859e194bd3a55bcefc4dab1ecc6dfaf280a00e94176
post_checkpoint_eval_recovery	3_evaluation/post_checkpoint_eval_recovery.md	post-checkpoint split/rerun recovery protocol	ready	7628	33d380cbe2720c3947227ac3a64d61d1207f3c20f25a0d57fb599f5c48d7ce53
training_loss_snapshot	2_training/training_loss_snapshot.md	Trainer-log loss snapshot for live paired MLM progress	ready	2019	6dde13646c0a65c5fade64dfab64f5daa39e8310deb9855abc3c9fce20c193ed
training_loss_snapshot_tsv	2_training/training_loss_snapshot.tsv	Machine-readable Trainer-log loss rows	ready	31183	4e846a2e397ed0a2ebb48249e3b72b93383e6f0efffe58ed729ef15781e3cde0
post_checkpoint_provenance_audit	3_evaluation/post_checkpoint_provenance_audit.md	post-checkpoint source/run_meta/log provenance audit	ready	13960	dc17746a7d1e8bc4a775884fac468ca492c851329eaf5a0888ccdc87d103a8cf
post_checkpoint_provenance_audit_tsv	3_evaluation/post_checkpoint_provenance_audit.tsv	Machine-readable post-checkpoint provenance audit	ready	12357	4d42b19454196110bece7de75c09c31432d3f636110d3e6c11119cd45142b12f
result_insertion_matrix	4_reporting/result_insertion_matrix.md	raw-output to report/PPT promotion rule matrix	ready	11586	0c023b91bc494ad4b9c3caaee811b5183c575aaf0008a9328f9e36c366d0fb94
result_slot_inventory	4_reporting/result_slot_inventory.md	report/PPT pending-result slot inventory	ready	15072	6d7744c8e7bd776f14ab79e4faa64e1d660c2d8fdcb92c8c75766f05cecbcc1c
result_slot_inventory_tsv	4_reporting/result_slot_inventory.tsv	Machine-readable report/PPT result slot inventory	ready	16018	7c8bae7da39cbce1c47ab244402b9c93e10bb94e62e5969f79895e035702b908
pending_result_registry	4_reporting/pending_result_registry.md	explicit pending/running/blocked label registry	ready	5725	0c7de62a502f184f2bbc6e922c5aa7813d5e087548f04ed2170bc65a97ae8f21
report_slide_crosswalk	4_reporting/report_slide_crosswalk.md	report-section to slide/evidence crosswalk	ready	6146	32e8f47fd9b414d8406c9420869fd18e8a001bcb4869c329df6af54862296408
final_package_checklist	4_reporting/final_package_checklist.md	final package checklist	ready	33120	a2e97bf1c8e78bb35feb44202944706276c2b34b7f0514359b66ec714e7f3c2c
source_map	4_reporting/00_tables/source_map.md	report/PPT table and evidence source map	ready	25780	d03204b51d75c743f59db998b72470060f76f24f5896f8bc83c63c1c88f6c78f
table_01_data_scope	4_reporting/00_tables/table_01_data_scope.md	data scope and target10 selection table	ready	1415	eb71b8520671de2ee2370a7c0057d986196695de2156f9591ae63e2c3b386499
table_02_tokenizer_audit	4_reporting/00_tables/table_02_tokenizer_audit.md	tokenizer audit and fertility summary table	ready	1381	0b4c22479b562b7f3ff2d43b54b83a7142b0fdb958ddde0f2ba16a6c76eede5c
table_03_initialization_zero_step	4_reporting/00_tables/table_03_initialization_zero_step.md	initialization and zero-step comparison table	ready	1259	12be51c4bc6a1352e4b4f8063054d762e36d06570f722dfdd15a6ed437500862
table_04_evaluation_coverage	4_reporting/00_tables/table_04_evaluation_coverage.md	evaluation coverage table	ready	1940	3c3609e60b73cef5ab070015b8f86ce54626e68cdf5bffcc0cda214832847cae
table_04_evaluation_coverage_tsv	4_reporting/00_tables/table_04_evaluation_coverage.tsv	machine-readable evaluation coverage table	ready	1093	2fe554be0c80cfff7cae8bc8c03aa3c1868922ef1d289e598bf1a6734f4c1011
table_05_training_status	4_reporting/00_tables/table_05_training_status.md	live MLM training and checkpoint readiness table	ready	1627	d6fbfd2c68cc3c00669bedb31e0ac39575e5d4c2434332e47f2650703d52fb5b
table_06_pppl_partial	4_reporting/00_tables/table_06_pppl_partial.md	partial PPPL baseline/reference results table	ready	1765	cf2a2523b4b75618b67b0bc79b7cf26c6ed1832d97ab98c09e7fddc7f4b3002b
table_07_tatoeba_partial	4_reporting/00_tables/table_07_tatoeba_partial.md	partial Tatoeba baseline/reference results table	ready	1724	fe87151f473b94faddc57ac3f0f110c6c488ef6627499cf7906c71175ddc8181
table_08_text_classification_partial	4_reporting/00_tables/table_08_text_classification_partial.md	partial text classification baseline/reference results table	ready	1291	b172d87b4ff7b63408342e86355c158aae7dd156aac04147b00d29062e721e85
table_09_blocked_metric_notes	4_reporting/00_tables/table_09_blocked_metric_notes.md	blocked and coverage-limited metric note table	ready	2201	b3d2d900f8989ec820b2a36d0e990011c263ae916f1008f197a843ea4348dbad
table_10_ner_partial	4_reporting/00_tables/table_10_ner_partial.md	partial NER baseline/reference results table	ready	1717	4df586a1b695cfee464531447ed422e67657ad5660bc22beaefdaaa6b8c112e7
table_11_pos_partial	4_reporting/00_tables/table_11_pos_partial.md	partial POS baseline/reference results table	ready	1376	8a725e9d0c6921eaea42ade2397f56b279c166d38468a55b840fb3e0c00fda3d
table_12_bible_partial	4_reporting/00_tables/table_12_bible_partial.md	partial Bible retrieval baseline/reference results table	ready	2438	1d6cd94ea40037dd3bb3f7f548ef0540deca6ef5a77e633c2720b7d7efb4a47b
table_13_metric_fidelity_matrix	4_reporting/00_tables/table_13_metric_fidelity_matrix.md	Glot500 metric-family fidelity matrix	ready	4271	47c54f5aa8005dfe61ce8eed1979b010f65d94272bec784fa47349a1a0aee1a0
table_14_roundtrip_partial	4_reporting/00_tables/table_14_roundtrip_partial.md	Roundtrip baseline/reference partial results table	ready	2442	c234078b4fb3e1c65662927ad3fb9380eaca33c86bd9b326943714417eb24848
table_15_glot500_reproduction_fidelity	4_reporting/00_tables/table_15_glot500_reproduction_fidelity.md	Glot500 controlled-subset reproduction fidelity matrix	ready	3887	eabdfd0cb435f4d577c337333f830617b042c833cb2c816a23eca31b1451d520
figure_plan	4_reporting/01_figures/figure_plan.md	planned report/PPT figure set and refresh rules	ready	2876	291840afdd03d6e3cf258a103b8fa4befe686775a7f8223a56409a9d89b15315
figure_captions	4_reporting/01_figures/generated/captions.md	generated figure captions	ready	1923	309511b07527293b7ceb5e798e682199942240355bc3ef20f71638bbcecd9493
figure_manifest	4_reporting/01_figures/generated/figure_manifest.tsv	machine-readable figure manifest	ready	1782	6bc77ad2b8b8cb6fca08db9d6886e972748b6fe5cccb36ead6c814be7461a406
figure_01_experiment_pipeline_png	4_reporting/01_figures/generated/figure_01_experiment_pipeline.png	Experiment pipeline overview figure	ready	192288	d7e984e957ba080d0419d76b4d775af787f1024d5f75f35a4283b8d73ed6c0d0
figure_01_experiment_pipeline_svg	4_reporting/01_figures/generated/figure_01_experiment_pipeline.svg	Experiment pipeline overview figure source	ready	80712	3c3e3bb0e4509b01ecce4c10ef0784a6c3ebd4a93fd43348b423f3a6272a75f5
figure_02_tokenizer_fertility_delta_png	4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.png	tokenizer fertility delta figure	ready	138768	354085e1716e1b32de6e3f53419ebe204c597ada4c7294728d2326c4f2dbd6dd
figure_02_tokenizer_fertility_delta_svg	4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.svg	tokenizer fertility delta figure source	ready	57339	1799b36806eeea41b99a5353f887d4af33740657d43447a485cbb4f7f454732c
figure_03_zero_step_initialization_png	4_reporting/01_figures/generated/figure_03_zero_step_initialization.png	zero-step initialization comparison figure	ready	62392	e30ce000e306fc795c9df65d7c536baeacea23a999c4aee2a725c269dfdfbfe5
figure_03_zero_step_initialization_svg	4_reporting/01_figures/generated/figure_03_zero_step_initialization.svg	zero-step initialization comparison figure source	ready	32541	9e92fc43aa137c6a7e06b37fadea3acd2c49e378bca708f041fbb1719c043b57
figure_05_evaluation_coverage_png	4_reporting/01_figures/generated/figure_05_evaluation_coverage.png	evaluation coverage figure	ready	60816	6770c3538c7479faeed24af1bbe72416da91807ee380fde3774e2808781ded96
figure_05_evaluation_coverage_svg	4_reporting/01_figures/generated/figure_05_evaluation_coverage.svg	evaluation coverage figure source	ready	33757	77b9129b75598fa1e0757bd69f098b94d72a0b1236f31aa48a194b2276382638
metric_execution_ledger	4_reporting/metric_execution_ledger.md	retained Glot500 metric execution state ledger	ready	3709	50f9303ef64d11eb03809f45be8029cc5ba17a0378d2506efc9c7a8ddd4c956c
metric_execution_ledger_tsv	4_reporting/metric_execution_ledger.tsv	Machine-readable retained metric execution ledger	ready	2598	3cf16001b95a18567d4448230a109e0316da928f64b9adb51cc1093cf3713b13
metric_surface_completeness_audit	4_reporting/metric_surface_completeness_audit.md	source/rendered report/PPT visible metric-family completeness audit	ready	4039	7da5baff5a70db9840db6171ae6350d7a70e1a2835614c6c03a92ad79e50a37d
metric_surface_completeness_audit_tsv	4_reporting/metric_surface_completeness_audit.tsv	Machine-readable metric surface completeness audit	ready	2802	70a642fc3b4da68da1074fea72931dceb3cd4d0ad8a3959d82e0e6c7c2ad13db
rendered_artifact_freshness_audit	4_reporting/rendered_artifact_freshness_audit.md	rendered report/PPT artifact freshness audit	ready	2506	90a46b4abe21e2b49795c215c33e9805a3ff6876c6aaf89d53854160f4183858
rendered_artifact_freshness_audit_tsv	4_reporting/rendered_artifact_freshness_audit.tsv	Machine-readable rendered artifact freshness audit	ready	1723	c71ea9bca633eb1b2be11aeed231a55b35f7e3f1ae9330ad33c45d0c7e37cfc0
deliverable_openability_audit	4_reporting/deliverable_openability_audit.md	original report/PPT openability audit	ready	1684	509450eb8b043dd6b3bf4f3b2c72af1713a494a6999cf2df81dce9bb502010b7
deliverable_openability_audit_tsv	4_reporting/deliverable_openability_audit.tsv	Machine-readable original report/PPT openability audit	ready	1133	e7c8f8e417e25226aa69dab031109b328a62571eca61869eb85d8f2c6bcce6dc
method_comparison_summary	4_reporting/method_comparison_summary.md	method comparison and decision-tree input summary	ready	3819	1200ae95eed44489d16470af87efec42bb6982fb880698e495cb1d782fd0520f
method_comparison_summary_tsv	4_reporting/method_comparison_summary.tsv	Machine-readable method comparison summary	ready	5636	4381ecbac1016332e916f386be426d55430bc05b14564c4779b8f5528d09ac42
comparison_materiality_audit	4_reporting/comparison_materiality_audit.md	practical materiality bands for method comparisons	ready	3986	cb9ac3d423cc0c27416ae92417bde7a2e05037864089b1318dbd864b3bb637a7
comparison_materiality_audit_tsv	4_reporting/comparison_materiality_audit.tsv	Machine-readable comparison materiality audit	ready	3753	dccf6c585505150645783b4b9642a7989cb17a4bcb7f5198a1ef9c7379d7e96b
result_insertion_contract_audit	4_reporting/result_insertion_contract_audit.md	post-result report/PPT insertion and command-support contract audit	ready	2506	71ecf0a259a4a4636c1b3aa849f8d0ff3bfbc8507faeb68f6da05a3d31e266d0
result_insertion_contract_audit_tsv	4_reporting/result_insertion_contract_audit.tsv	Machine-readable result insertion contract audit	ready	1405	2d06691d608b536ba8101f4a3b5aadb58c75f8b726676523df20a8616ecbfb62
claim_source_contract_audit	4_reporting/claim_source_contract_audit.md	report/PPT final numeric-claim source contract audit	ready	7828	10296103b0f4af58a9b7dd6585b802b8f63c39c9a96a28e412a7708ebfcb8da3
claim_source_contract_audit_tsv	4_reporting/claim_source_contract_audit.tsv	Machine-readable claim-source contract audit	ready	6817	7e817fd204fbebffcec6226f4f3f17392fe4737adcd20c2d6f82f33a179573c6
reporting_package_audit	4_reporting/reporting_package_audit.md	package consistency audit	ready	41398	c539ee954f6503cc50fc4431c4f6b53f6d99a0242b9039f3590f0c36b3eda9d2
final_deliverable_audit	4_reporting/final_deliverable_audit.md	goal-to-evidence audit	ready	7989	6c74ebaed3a01ad61f7b0e32d46d4148c299922ed291de36226d85a0546b60c8
final_submission_smoke_audit	4_reporting/final_submission_smoke_audit.md	final share/freeze smoke audit	ready	2873	3bb767be1ccd41cc7e3fc6d52691724cc804cc4711be2b754f62140e4088b688
final_submission_smoke_audit_tsv	4_reporting/final_submission_smoke_audit.tsv	Machine-readable final share/freeze smoke audit	ready	1903	aebdafe079f40a05b2273d76b680170e4becf13b810846f67b0ab1bf45dcfcf8
execution_readiness_review_ko	4_reporting/execution_readiness_review_ko.md	Korean readiness review	ready	6033	ca643e0271534876bf5524a1ff7762ef59f44d146604db89a2c19114dc12d6b0
surface_overclaim_audit	4_reporting/surface_overclaim_audit.md	report/PPT overclaim guard audit	ready	3895	197ccbb86a3afd943d5af5410485a8c1811a7bb7cadfbfe918aeda63622d9e2d
