item	status	evidence	action
aggregation_source:retrieval_bible:v5_random	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt	none
run_meta:retrieval_bible:v5_random	ready	3_evaluation/03_retrieval_bible/v5_random/run_meta.tsv; fields=complete	none
command_log:retrieval_bible:v5_random	ready	3_evaluation/03_retrieval_bible/v5_random/command_logs; logs=1	none
aggregation_source:retrieval_bible:xlmr_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt	none
run_meta:retrieval_bible:xlmr_base	ready	3_evaluation/03_retrieval_bible/xlmr_base/run_meta.tsv; fields=complete	none
command_log:retrieval_bible:xlmr_base	ready	3_evaluation/03_retrieval_bible/xlmr_base/command_logs; logs=1	none
aggregation_source:retrieval_tatoeba:glot500_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/glot500_base/cis-lmu__glot500-base/test_results.txt	none
run_meta:retrieval_tatoeba:glot500_base	ready	3_evaluation/02_retrieval_tatoeba/glot500_base/run_meta.tsv; fields=complete	none
command_log:retrieval_tatoeba:glot500_base	ready	3_evaluation/02_retrieval_tatoeba/glot500_base/command_logs; logs=1	none
aggregation_source:retrieval_tatoeba:v5_fvt	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt	none
run_meta:retrieval_tatoeba:v5_fvt	ready	3_evaluation/02_retrieval_tatoeba/v5_fvt/run_meta.tsv; fields=complete	none
command_log:retrieval_tatoeba:v5_fvt	ready	3_evaluation/02_retrieval_tatoeba/v5_fvt/command_logs; logs=1	none
aggregation_source:retrieval_tatoeba:v5_random	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt	none
run_meta:retrieval_tatoeba:v5_random	ready	3_evaluation/02_retrieval_tatoeba/v5_random/run_meta.tsv; fields=complete	none
command_log:retrieval_tatoeba:v5_random	ready	3_evaluation/02_retrieval_tatoeba/v5_random/command_logs; logs=1	none
aggregation_source:retrieval_tatoeba:xlmr_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt	none
run_meta:retrieval_tatoeba:xlmr_base	ready	3_evaluation/02_retrieval_tatoeba/xlmr_base/run_meta.tsv; fields=complete	none
command_log:retrieval_tatoeba:xlmr_base	ready	3_evaluation/02_retrieval_tatoeba/xlmr_base/command_logs; logs=1	none
aggregation_source:roundtrip_alignment:glot500_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/glot500_base/test_results.txt	none
run_meta:roundtrip_alignment:glot500_base	ready	3_evaluation/07_roundtrip_alignment/glot500_base/run_meta.tsv; fields=complete	none
command_log:roundtrip_alignment:glot500_base	ready	3_evaluation/07_roundtrip_alignment/glot500_base/command_logs; logs=1	none
aggregation_source:roundtrip_alignment:v5_random	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/v5_random/test_results.txt	none
run_meta:roundtrip_alignment:v5_random	ready	3_evaluation/07_roundtrip_alignment/v5_random/run_meta.tsv; fields=complete	none
command_log:roundtrip_alignment:v5_random	ready	3_evaluation/07_roundtrip_alignment/v5_random/command_logs; logs=1	none
aggregation_source:roundtrip_alignment:xlmr_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/xlmr_base/test_results.txt	none
run_meta:roundtrip_alignment:xlmr_base	ready	3_evaluation/07_roundtrip_alignment/xlmr_base/run_meta.tsv; fields=complete	none
command_log:roundtrip_alignment:xlmr_base	ready	3_evaluation/07_roundtrip_alignment/xlmr_base/command_logs; logs=1	none
aggregation_source:text_classification:glot500_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/glot500_base/summary.json	none
run_meta:text_classification:glot500_base	ready	3_evaluation/04_text_classification/glot500_base/run_meta.tsv; fields=complete	none
command_log:text_classification:glot500_base	ready	3_evaluation/04_text_classification/glot500_base/command_logs; logs=1	none
aggregation_source:text_classification:v5_fvt	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json	none
run_meta:text_classification:v5_fvt	ready	3_evaluation/04_text_classification/v5_fvt/run_meta.tsv; fields=complete	none
command_log:text_classification:v5_fvt	ready	3_evaluation/04_text_classification/v5_fvt/command_logs; logs=1	none
aggregation_source:text_classification:v5_random	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json	none
run_meta:text_classification:v5_random	ready	3_evaluation/04_text_classification/v5_random/run_meta.tsv; fields=complete	none
command_log:text_classification:v5_random	ready	3_evaluation/04_text_classification/v5_random/command_logs; logs=1	none
aggregation_source:text_classification:xlmr_base	ready	sources=/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/xlmr_base/summary.json	none
run_meta:text_classification:xlmr_base	ready	3_evaluation/04_text_classification/xlmr_base/run_meta.tsv; fields=complete	none
command_log:text_classification:xlmr_base	ready	3_evaluation/04_text_classification/xlmr_base/command_logs; logs=1	none
