language_script	input_dir	source_split	source_examples	train_examples	dev_examples	test_examples	status	notes
bul_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bul_Cyrl	train	21822051	21820051	1000	1000	PASS	count_source=arrow
tgl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tgl_Latn	train	7409827	7407827	1000	1000	PASS	count_source=arrow
eus_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eus_Latn	train	12774851	12772851	1000	1000	PASS	count_source=arrow
pol_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pol_Latn	train	19338808	19336808	1000	1000	PASS	count_source=arrow
lat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lat_Latn	train	1149896	1147896	1000	1000	PASS	count_source=arrow
tur_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tur_Latn	train	29182577	29180577	1000	1000	PASS	count_source=arrow
fra_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fra_Latn	train	39196744	39194744	1000	1000	PASS	count_source=arrow
cat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cat_Latn	train	8632854	8630854	1000	1000	PASS	count_source=arrow
uig_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Arab	train	298694	296694	1000	1000	PASS	count_source=arrow
arb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/arb_Arab	train	9697	7697	1000	1000	PASS	count_source=arrow
sqi_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sqi_Latn	train	5473093	5471093	1000	1000	PASS	count_source=arrow
sin_Sinh	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sin_Sinh	train	7292412	7290412	1000	1000	PASS	count_source=arrow
msa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/msa_Latn	train	3894332	3892332	1000	1000	PASS	count_source=arrow
swh_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swh_Latn	train	43876	41876	1000	1000	PASS	count_source=arrow
kor_Hang	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kor_Hang	train	6348091	6346091	1000	1000	PASS	count_source=arrow
ukr_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ukr_Cyrl	train	7437153	7435153	1000	1000	PASS	count_source=arrow
kir_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kir_Cyrl	train	1334662	1332662	1000	1000	PASS	count_source=arrow
yid_Hebr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/yid_Hebr	train	218222	216222	1000	1000	PASS	count_source=arrow
heb_Hebr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/heb_Hebr	train	18126264	18124264	1000	1000	PASS	count_source=arrow
nld_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nld_Latn	train	25060543	25058543	1000	1000	PASS	count_source=arrow
fry_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fry_Latn	train	925801	923801	1000	1000	PASS	count_source=arrow
azb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/azb_Arab	train	1881	1	940	940	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
glg_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/glg_Latn	train	17848822	17846822	1000	1000	PASS	count_source=arrow
fas_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fas_Arab	train	18237931	18235931	1000	1000	PASS	count_source=arrow
eng_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/eng_Latn	train	36121560	36119560	1000	1000	PASS	count_source=arrow
mkd_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mkd_Cyrl	train	14715827	14713827	1000	1000	PASS	count_source=arrow
ind_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ind_Latn	train	23017064	23015064	1000	1000	PASS	count_source=arrow
por_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/por_Latn	train	27822986	27820986	1000	1000	PASS	count_source=arrow
spa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/spa_Latn	train	37285157	37283157	1000	1000	PASS	count_source=arrow
dan_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dan_Latn	train	19172974	19170974	1000	1000	PASS	count_source=arrow
khm_Khmr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/khm_Khmr	train	565794	563794	1000	1000	PASS	count_source=arrow
gla_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gla_Latn	train	124953	122953	1000	1000	PASS	count_source=arrow
uig_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/uig_Latn	train	1705	1	852	852	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
kat_Geor	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kat_Geor	train	990785	988785	1000	1000	PASS	count_source=arrow
mlg_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mlg_Latn	train	3703137	3701137	1000	1000	PASS	count_source=arrow
snd_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/snd_Arab	train	478110	476110	1000	1000	PASS	count_source=arrow
ita_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/ita_Latn	train	23538832	23536832	1000	1000	PASS	count_source=arrow
hau_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/hau_Arab	train	7594	5594	1000	1000	PASS	count_source=arrow
cym_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/cym_Latn	train	1163276	1161276	1000	1000	PASS	count_source=arrow
srp_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Latn	train	18371143	18369143	1000	1000	PASS	count_source=arrow
zho_Hani	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zho_Hani	train	24073937	24071937	1000	1000	PASS	count_source=arrow
tha_Thai	/home/axt/mnt2/jongha/v5_1_glot50010/raw/tha_Thai	train	7627697	7625697	1000	1000	PASS	count_source=arrow
swe_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swe_Latn	train	20725321	20723321	1000	1000	PASS	count_source=arrow
pan_Guru	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pan_Guru	train	29025289	29023289	1000	1000	PASS	count_source=arrow
prs_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/prs_Arab	train	10753	8753	1000	1000	PASS	count_source=arrow
pes_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/raw/pes_Arab	train	18762	16762	1000	1000	PASS	count_source=arrow
san_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/san_Latn	train	118	1	58	59	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
kaz_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kaz_Cyrl	train	12345817	12343817	1000	1000	PASS	count_source=arrow
kur_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/kur_Latn	train	405169	403169	1000	1000	PASS	count_source=arrow
mal_Mlym	/home/axt/mnt2/jongha/v5_1_glot50010/raw/mal_Mlym	train	48095393	48093393	1000	1000	PASS	count_source=arrow
nep_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/raw/nep_Deva	train	1299063	1297063	1000	1000	PASS	count_source=arrow
gle_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/gle_Latn	train	7178230	7176230	1000	1000	PASS	count_source=arrow
swa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/swa_Latn	train	5987318	5985318	1000	1000	PASS	count_source=arrow
som_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/som_Latn	train	3915898	3913898	1000	1000	PASS	count_source=arrow
lit_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/lit_Latn	train	12425629	12423629	1000	1000	PASS	count_source=arrow
guj_Gujr	/home/axt/mnt2/jongha/v5_1_glot50010/raw/guj_Gujr	train	45738247	45736247	1000	1000	PASS	count_source=arrow
asm_Beng	/home/axt/mnt2/jongha/v5_1_glot50010/raw/asm_Beng	train	1876644	1874644	1000	1000	PASS	count_source=arrow
srp_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/raw/srp_Cyrl	train	3863064	3861064	1000	1000	PASS	count_source=arrow
sun_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sun_Latn	train	2546902	2544902	1000	1000	PASS	count_source=arrow
zsm_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/zsm_Latn	train	849033	847033	1000	1000	PASS	count_source=arrow
aze_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/aze_Latn	train	46292511	46290511	1000	1000	PASS	count_source=arrow
fil_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/fil_Latn	train	33484266	33482266	1000	1000	PASS	count_source=arrow
bos_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/raw/bos_Latn	train	11012783	11010783	1000	1000	PASS	count_source=arrow
dzo_Tibt	/home/axt/mnt2/jongha/v5_1_glot50010/raw/dzo_Tibt	train	44100	42100	1000	1000	PASS	count_source=arrow
sat_Olck	/home/axt/mnt2/jongha/v5_1_glot50010/raw/sat_Olck	train	37581	35581	1000	1000	PASS	count_source=arrow
