language_script	stats_source_examples	arrow_source_examples	delta_arrow_minus_stats	stats_dev_examples	arrow_dev_examples	stats_test_examples	arrow_test_examples	status	notes
tur_Latn	29184662	29182577	-2085	1000	1000	1000	1000	PASS	count_source=arrow
fra_Latn	39197581	39196744	-837	1000	1000	1000	1000	PASS	count_source=arrow
cat_Latn	8648271	8632854	-15417	1000	1000	1000	1000	PASS	count_source=arrow
uig_Arab	307302	298694	-8608	1000	1000	1000	1000	PASS	count_source=arrow
arb_Arab	159884	9697	-150187	1000	1000	1000	1000	PASS	count_source=arrow
sqi_Latn	5526836	5473093	-53743	1000	1000	1000	1000	PASS	count_source=arrow
sin_Sinh	7293178	7292412	-766	1000	1000	1000	1000	PASS	count_source=arrow
msa_Latn	3929084	3894332	-34752	1000	1000	1000	1000	PASS	count_source=arrow
swh_Latn	95776	43876	-51900	1000	1000	1000	1000	PASS	count_source=arrow
kor_Hang	6468444	6348091	-120353	1000	1000	1000	1000	PASS	count_source=arrow
ukr_Cyrl	7462046	7437153	-24893	1000	1000	1000	1000	PASS	count_source=arrow
kir_Cyrl	1397566	1334662	-62904	1000	1000	1000	1000	PASS	count_source=arrow
yid_Hebr	220214	218222	-1992	1000	1000	1000	1000	PASS	count_source=arrow
heb_Hebr	18128962	18126264	-2698	1000	1000	1000	1000	PASS	count_source=arrow
nld_Latn	25061426	25060543	-883	1000	1000	1000	1000	PASS	count_source=arrow
fry_Latn	957422	925801	-31621	1000	1000	1000	1000	PASS	count_source=arrow
azb_Arab	33758	1881	-31877	1000	940	1000	940	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
glg_Latn	17852274	17848822	-3452	1000	1000	1000	1000	PASS	count_source=arrow
fas_Arab	18277593	18237931	-39662	1000	1000	1000	1000	PASS	count_source=arrow
eng_Latn	36122761	36121560	-1201	1000	1000	1000	1000	PASS	count_source=arrow
mkd_Cyrl	14717004	14715827	-1177	1000	1000	1000	1000	PASS	count_source=arrow
ind_Latn	23018106	23017064	-1042	1000	1000	1000	1000	PASS	count_source=arrow
por_Latn	27824391	27822986	-1405	1000	1000	1000	1000	PASS	count_source=arrow
spa_Latn	37286756	37285157	-1599	1000	1000	1000	1000	PASS	count_source=arrow
dan_Latn	19174573	19172974	-1599	1000	1000	1000	1000	PASS	count_source=arrow
khm_Khmr	590429	565794	-24635	1000	1000	1000	1000	PASS	count_source=arrow
gla_Latn	152563	124953	-27610	1000	1000	1000	1000	PASS	count_source=arrow
uig_Latn	9637	1705	-7932	1000	852	1000	852	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
kat_Geor	1004297	990785	-13512	1000	1000	1000	1000	PASS	count_source=arrow
mlg_Latn	3715802	3703137	-12665	1000	1000	1000	1000	PASS	count_source=arrow
snd_Arab	488730	478110	-10620	1000	1000	1000	1000	PASS	count_source=arrow
ita_Latn	23539857	23538832	-1025	1000	1000	1000	1000	PASS	count_source=arrow
hau_Arab	9593	7594	-1999	1000	1000	1000	1000	PASS	count_source=arrow
cym_Latn	1244783	1163276	-81507	1000	1000	1000	1000	PASS	count_source=arrow
srp_Latn	18371769	18371143	-626	1000	1000	1000	1000	PASS	count_source=arrow
zho_Hani	24143786	24073937	-69849	1000	1000	1000	1000	PASS	count_source=arrow
tha_Thai	7735209	7627697	-107512	1000	1000	1000	1000	PASS	count_source=arrow
swe_Latn	20725883	20725321	-562	1000	1000	1000	1000	PASS	count_source=arrow
pan_Guru	29052537	29025289	-27248	1000	1000	1000	1000	PASS	count_source=arrow
prs_Arab	26823	10753	-16070	1000	1000	1000	1000	PASS	count_source=arrow
pes_Arab	57511	18762	-38749	1000	1000	1000	1000	PASS	count_source=arrow
san_Latn	25742	118	-25624	1000	58	1000	59	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1
kaz_Cyrl	12378727	12345817	-32910	1000	1000	1000	1000	PASS	count_source=arrow
kur_Latn	407169	405169	-2000	1000	1000	1000	1000	PASS	count_source=arrow
mal_Mlym	48098273	48095393	-2880	1000	1000	1000	1000	PASS	count_source=arrow
nep_Deva	1317291	1299063	-18228	1000	1000	1000	1000	PASS	count_source=arrow
gle_Latn	7225513	7178230	-47283	1000	1000	1000	1000	PASS	count_source=arrow
swa_Latn	5989369	5987318	-2051	1000	1000	1000	1000	PASS	count_source=arrow
som_Latn	3916769	3915898	-871	1000	1000	1000	1000	PASS	count_source=arrow
lit_Latn	12479626	12425629	-53997	1000	1000	1000	1000	PASS	count_source=arrow
guj_Gujr	45738685	45738247	-438	1000	1000	1000	1000	PASS	count_source=arrow
asm_Beng	1882353	1876644	-5709	1000	1000	1000	1000	PASS	count_source=arrow
srp_Cyrl	3864091	3863064	-1027	1000	1000	1000	1000	PASS	count_source=arrow
sun_Latn	2586011	2546902	-39109	1000	1000	1000	1000	PASS	count_source=arrow
zsm_Latn	859947	849033	-10914	1000	1000	1000	1000	PASS	count_source=arrow
aze_Latn	46300705	46292511	-8194	1000	1000	1000	1000	PASS	count_source=arrow
fil_Latn	33493255	33484266	-8989	1000	1000	1000	1000	PASS	count_source=arrow
bos_Latn	11014744	11012783	-1961	1000	1000	1000	1000	PASS	count_source=arrow
dzo_Tibt	52732	44100	-8632	1000	1000	1000	1000	PASS	count_source=arrow
sat_Olck	39614	37581	-2033	1000	1000	1000	1000	PASS	count_source=arrow
