rank	language_script	language	script	group	xlm_r_training_language	region	source_examples	train_examples	dev_examples	test_examples	has_pppl	has_tatoeba	has_bible	has_roundtrip	has_ner	has_pos	has_taxi1500	split_status	split_notes	selection_note
43	tur_Latn	tur	Latn	seen92	yes		29182577	29180577	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
44	fra_Latn	fra	Latn	seen92	yes		39196744	39194744	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
45	cat_Latn	cat	Latn	seen92	yes		8632854	8630854	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
46	uig_Arab	uig	Arab	seen92	yes		298694	296694	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
47	arb_Arab	arb	Arab	seen92	yes		9697	7697	1000	1000	yes	no	yes	yes	no	no	no	PASS	count_source=arrow	
48	sqi_Latn	sqi	Latn	seen92	yes		5473093	5471093	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
49	sin_Sinh	sin	Sinh	seen92	yes		7292412	7290412	1000	1000	yes	no	yes	yes	yes	yes	no	PASS	count_source=arrow	
50	msa_Latn	msa	Latn	seen92	yes		3894332	3892332	1000	1000	yes	no	no	no	yes	no	no	PASS	count_source=arrow	
51	swh_Latn	swh	Latn	seen92	yes		43876	41876	1000	1000	yes	yes	yes	yes	no	no	no	PASS	count_source=arrow	
52	kor_Hang	kor	Hang	seen92	yes		6348091	6346091	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
53	ukr_Cyrl	ukr	Cyrl	seen92	yes		7437153	7435153	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
54	kir_Cyrl	kir	Cyrl	seen92	yes		1334662	1332662	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
55	yid_Hebr	yid	Hebr	seen92	yes		218222	216222	1000	1000	yes	yes	no	no	yes	no	no	PASS	count_source=arrow	
56	heb_Hebr	heb	Hebr	seen92	yes		18126264	18124264	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
57	nld_Latn	nld	Latn	seen92	yes		25060543	25058543	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
58	fry_Latn	fry	Latn	seen92	yes		925801	923801	1000	1000	yes	yes	yes	yes	yes	no	no	PASS	count_source=arrow	
59	azb_Arab	azb	Arab	seen92	yes		1881	1	940	940	yes	no	yes	yes	no	no	no	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1	
60	glg_Latn	glg	Latn	seen92	yes		17848822	17846822	1000	1000	yes	yes	no	no	yes	yes	no	PASS	count_source=arrow	
61	fas_Arab	fas	Arab	seen92	yes		18237931	18235931	1000	1000	yes	no	no	no	yes	yes	no	PASS	count_source=arrow	
62	eng_Latn	eng	Latn	seen92	yes		36121560	36119560	1000	1000	yes	no	no	no	yes	yes	yes	PASS	count_source=arrow	
63	mkd_Cyrl	mkd	Cyrl	seen92	yes		14715827	14713827	1000	1000	yes	yes	yes	yes	yes	no	no	PASS	count_source=arrow	
64	ind_Latn	ind	Latn	seen92	yes		23017064	23015064	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
65	por_Latn	por	Latn	seen92	yes		27822986	27820986	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
66	spa_Latn	spa	Latn	seen92	yes		37285157	37283157	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
67	dan_Latn	dan	Latn	seen92	yes		19172974	19170974	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
68	khm_Khmr	khm	Khmr	seen92	yes		565794	563794	1000	1000	yes	yes	yes	yes	yes	no	no	PASS	count_source=arrow	
69	gla_Latn	gla	Latn	seen92	yes		124953	122953	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
70	uig_Latn	uig	Latn	seen92	yes		1705	1	852	852	yes	no	yes	yes	no	no	no	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1	
71	kat_Geor	kat	Geor	seen92	yes		990785	988785	1000	1000	yes	yes	yes	yes	yes	no	no	PASS	count_source=arrow	
72	mlg_Latn	mlg	Latn	seen92	yes		3703137	3701137	1000	1000	yes	no	no	no	yes	no	no	PASS	count_source=arrow	
73	snd_Arab	snd	Arab	seen92	yes		478110	476110	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
74	ita_Latn	ita	Latn	seen92	yes		23538832	23536832	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
75	hau_Arab	hau	Arab	seen92	yes		7594	5594	1000	1000	yes	no	no	no	no	no	no	PASS	count_source=arrow	
76	cym_Latn	cym	Latn	seen92	yes		1163276	1161276	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
77	srp_Latn	srp	Latn	seen92	yes		18371143	18369143	1000	1000	yes	yes	yes	yes	no	yes	no	PASS	count_source=arrow	
78	zho_Hani	zho	Hani	seen92	yes		24073937	24071937	1000	1000	yes	no	no	no	yes	yes	no	PASS	count_source=arrow	
79	tha_Thai	tha	Thai	seen92	yes		7627697	7625697	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
80	swe_Latn	swe	Latn	seen92	yes		20725321	20723321	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
81	pan_Guru	pan	Guru	seen92	yes		29025289	29023289	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
82	prs_Arab	prs	Arab	seen92	yes		10753	8753	1000	1000	yes	no	yes	yes	no	no	no	PASS	count_source=arrow	
83	pes_Arab	pes	Arab	seen92	yes		18762	16762	1000	1000	yes	yes	yes	yes	no	no	no	PASS	count_source=arrow	
84	san_Latn	san	Latn	seen92	yes		118	1	58	59	yes	no	yes	yes	no	no	no	PASS	count_source=arrow; small_policy=shrink; requested_dev=1000; requested_test=1000; min_train=1	
85	kaz_Cyrl	kaz	Cyrl	seen92	yes		12345817	12343817	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
86	kur_Latn	kur	Latn	seen92	yes		405169	403169	1000	1000	yes	yes	no	no	yes	no	no	PASS	count_source=arrow	
87	mal_Mlym	mal	Mlym	seen92	yes		48095393	48093393	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
88	nep_Deva	nep	Deva	seen92	yes		1299063	1297063	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
89	gle_Latn	gle	Latn	seen92	yes		7178230	7176230	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
90	swa_Latn	swa	Latn	seen92	yes		5987318	5985318	1000	1000	yes	no	no	no	yes	no	no	PASS	count_source=arrow	
91	som_Latn	som	Latn	seen92	yes		3915898	3913898	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	
92	lit_Latn	lit	Latn	seen92	yes		12425629	12423629	1000	1000	yes	yes	yes	yes	yes	yes	no	PASS	count_source=arrow	
93	guj_Gujr	guj	Gujr	target10	no	South Asia	45738247	45736247	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	Gujarati; Bible/Roundtrip/NER coverage with Gujarati script
94	asm_Beng	asm	Beng	target10	no	South Asia	1876644	1874644	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	Assamese; Bible/Roundtrip/NER coverage with Bengali script
95	srp_Cyrl	srp	Cyrl	target10	no	Southeast Europe	3863064	3861064	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	Serbian Cyrillic; Bible/Roundtrip/NER coverage
96	sun_Latn	sun	Latn	target10	no	Southeast Asia	2546902	2544902	1000	1000	yes	no	yes	yes	yes	no	no	PASS	count_source=arrow	Sundanese; Bible/Roundtrip/NER coverage
97	zsm_Latn	zsm	Latn	target10	no	Southeast Asia	849033	847033	1000	1000	yes	yes	yes	yes	no	no	no	PASS	count_source=arrow	Standard Malay; Tatoeba/Bible/Roundtrip coverage
98	aze_Latn	aze	Latn	target10	no	Caucasus/West Asia	46292511	46290511	1000	1000	yes	yes	no	no	yes	no	no	PASS	count_source=arrow	Azerbaijani Latin; Tatoeba/NER coverage
99	fil_Latn	fil	Latn	target10	no	Southeast Asia	33484266	33482266	1000	1000	yes	no	yes	yes	no	no	no	PASS	count_source=arrow	Filipino; Bible/Roundtrip coverage
100	bos_Latn	bos	Latn	target10	no	Southeast Europe	11012783	11010783	1000	1000	yes	yes	no	no	yes	no	no	PASS	count_source=arrow	Bosnian; Tatoeba/NER coverage
101	dzo_Tibt	dzo	Tibt	target10	no	Himalaya	44100	42100	1000	1000	yes	no	no	no	no	no	no	PASS	count_source=arrow	Dzongkha; PPPL-only script diversity anchor in Tibetan script
102	sat_Olck	sat	Olck	target10	no	South Asia	37581	35581	1000	1000	yes	no	no	no	no	no	no	PASS	count_source=arrow	Santali; PPPL-only script diversity anchor in Ol Chiki script
