bundle_path	source_path	role	status	bytes
tables/table_04_evaluation_coverage.tsv	4_reporting/00_tables/table_04_evaluation_coverage.tsv	Machine-readable evaluation coverage table	copied	1093
tables/table_05_training_status.md	4_reporting/00_tables/table_05_training_status.md	Live MLM training and checkpoint readiness table	copied	1627
tables/table_06_pppl_partial.md	4_reporting/00_tables/table_06_pppl_partial.md	Partial PPPL baseline/reference results table	copied	1765
tables/table_07_tatoeba_partial.md	4_reporting/00_tables/table_07_tatoeba_partial.md	Partial Tatoeba baseline/reference results table	copied	1724
tables/table_08_text_classification_partial.md	4_reporting/00_tables/table_08_text_classification_partial.md	Partial text classification baseline/reference results table	copied	1291
tables/table_09_blocked_metric_notes.md	4_reporting/00_tables/table_09_blocked_metric_notes.md	Blocked and coverage-limited metric note table	copied	2201
tables/table_10_ner_partial.md	4_reporting/00_tables/table_10_ner_partial.md	Partial NER baseline/reference results table	copied	1717
tables/table_11_pos_partial.md	4_reporting/00_tables/table_11_pos_partial.md	Partial POS baseline/reference results table	copied	1376
tables/table_12_bible_partial.md	4_reporting/00_tables/table_12_bible_partial.md	Partial Bible retrieval baseline/reference results table	copied	2438
tables/table_13_metric_fidelity_matrix.md	4_reporting/00_tables/table_13_metric_fidelity_matrix.md	Glot500 metric-family fidelity matrix	copied	4271
tables/table_14_roundtrip_partial.md	4_reporting/00_tables/table_14_roundtrip_partial.md	Roundtrip baseline/reference partial results table	copied	2442
tables/table_15_glot500_reproduction_fidelity.md	4_reporting/00_tables/table_15_glot500_reproduction_fidelity.md	Glot500 controlled-subset reproduction fidelity matrix	copied	3887
figures/figure_plan.md	4_reporting/01_figures/figure_plan.md	Planned report/PPT figure set and refresh rules	copied	2876
figures/captions.md	4_reporting/01_figures/generated/captions.md	Generated figure captions	copied	1923
figures/figure_manifest.tsv	4_reporting/01_figures/generated/figure_manifest.tsv	Machine-readable figure manifest	copied	1782
figures/figure_01_experiment_pipeline.png	4_reporting/01_figures/generated/figure_01_experiment_pipeline.png	Experiment pipeline overview figure	copied	192288
figures/figure_01_experiment_pipeline.svg	4_reporting/01_figures/generated/figure_01_experiment_pipeline.svg	Experiment pipeline overview figure source	copied	80712
figures/figure_02_tokenizer_fertility_delta.png	4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.png	Tokenizer fertility delta figure	copied	138768
figures/figure_02_tokenizer_fertility_delta.svg	4_reporting/01_figures/generated/figure_02_tokenizer_fertility_delta.svg	Tokenizer fertility delta figure source	copied	57339
figures/figure_03_zero_step_initialization.png	4_reporting/01_figures/generated/figure_03_zero_step_initialization.png	Zero-step initialization comparison figure	copied	62392
figures/figure_03_zero_step_initialization.svg	4_reporting/01_figures/generated/figure_03_zero_step_initialization.svg	Zero-step initialization comparison figure source	copied	32541
figures/figure_05_evaluation_coverage.png	4_reporting/01_figures/generated/figure_05_evaluation_coverage.png	Evaluation coverage figure	copied	60816
figures/figure_05_evaluation_coverage.svg	4_reporting/01_figures/generated/figure_05_evaluation_coverage.svg	Evaluation coverage figure source	copied	33757
handoff/metric_execution_ledger.md	4_reporting/metric_execution_ledger.md	Retained Glot500 metric execution state ledger	copied	3709
handoff/metric_execution_ledger.tsv	4_reporting/metric_execution_ledger.tsv	Machine-readable retained metric execution ledger	copied	2598
audits/metric_surface_completeness_audit.md	4_reporting/metric_surface_completeness_audit.md	Source/rendered report/PPT visible metric-family completeness audit	copied	4039
audits/metric_surface_completeness_audit.tsv	4_reporting/metric_surface_completeness_audit.tsv	Machine-readable metric surface completeness audit	copied	2802
audits/rendered_artifact_freshness_audit.md	4_reporting/rendered_artifact_freshness_audit.md	Rendered report/PPT artifact freshness audit	copied	2506
audits/rendered_artifact_freshness_audit.tsv	4_reporting/rendered_artifact_freshness_audit.tsv	Machine-readable rendered artifact freshness audit	copied	1723
audits/deliverable_openability_audit.md	4_reporting/deliverable_openability_audit.md	Original report/PPT openability audit	copied	1684
audits/deliverable_openability_audit.tsv	4_reporting/deliverable_openability_audit.tsv	Machine-readable original report/PPT openability audit	copied	1133
handoff/release_manifest.md	4_reporting/release_manifest.md	File-size and hash manifest	copied	16554
handoff/release_manifest.tsv	4_reporting/release_manifest.tsv	Machine-readable release manifest	copied	22426
audits/method_comparison_summary.md	4_reporting/method_comparison_summary.md	Method comparison and decision-tree input summary	copied	3819
audits/method_comparison_summary.tsv	4_reporting/method_comparison_summary.tsv	Machine-readable method comparison summary	copied	5636
audits/comparison_materiality_audit.md	4_reporting/comparison_materiality_audit.md	Practical materiality bands for method comparison rows	copied	3986
audits/comparison_materiality_audit.tsv	4_reporting/comparison_materiality_audit.tsv	Machine-readable comparison materiality audit	copied	3753
audits/result_insertion_contract_audit.md	4_reporting/result_insertion_contract_audit.md	Post-result report/PPT insertion and command-support contract audit	copied	2506
audits/result_insertion_contract_audit.tsv	4_reporting/result_insertion_contract_audit.tsv	Machine-readable result insertion contract audit	copied	1405
audits/claim_source_contract_audit.md	4_reporting/claim_source_contract_audit.md	Report/PPT final numeric-claim source contract audit	copied	7828
audits/claim_source_contract_audit.tsv	4_reporting/claim_source_contract_audit.tsv	Machine-readable claim-source contract audit	copied	6817
audits/reporting_package_audit.md	4_reporting/reporting_package_audit.md	Package audit	copied	41398
audits/final_deliverable_audit.md	4_reporting/final_deliverable_audit.md	Goal deliverable audit	copied	7989
audits/final_submission_smoke_audit.md	4_reporting/final_submission_smoke_audit.md	Final share/freeze smoke audit	copied	2873
audits/final_submission_smoke_audit.tsv	4_reporting/final_submission_smoke_audit.tsv	Machine-readable final share/freeze smoke audit	copied	1903
audits/execution_readiness_review_ko.md	4_reporting/execution_readiness_review_ko.md	Korean readiness review	copied	6033
audits/final_claim_freeze_audit.md	4_reporting/final_claim_freeze_audit.md	Claim freeze audit	copied	2612
audits/final_evidence_packet_audit.md	4_reporting/final_evidence_packet_audit.md	Final evidence packet claim-promotion audit	copied	3547
audits/final_evidence_packet_audit.tsv	4_reporting/final_evidence_packet_audit.tsv	Machine-readable final evidence packet claim-promotion audit	copied	2736
audits/result_promotion_readiness_audit.md	4_reporting/result_promotion_readiness_audit.md	Result-promotion readiness audit	copied	3080
audits/metric_fidelity_audit.md	4_reporting/metric_fidelity_audit.md	Glot500 metric fidelity audit	copied	2996
audits/slide_rendering_audit.md	4_reporting/slide_rendering_audit.md	Slide rendering and Markdown table leakage audit	copied	1035
audits/slide_rendering_audit.tsv	4_reporting/slide_rendering_audit.tsv	Machine-readable slide rendering audit	copied	444
audits/surface_overclaim_audit.md	4_reporting/surface_overclaim_audit.md	Report/PPT overclaim surface audit	copied	3895
audits/refresh_sequence_sync_audit.md	4_reporting/refresh_sequence_sync_audit.md	Refresh sequence sync audit	copied	1624
audits/post_checkpoint_command_consistency.md	3_evaluation/post_checkpoint_command_consistency.md	Canonical post-checkpoint command audit	copied	3390
audits/post_checkpoint_preflight.md	3_evaluation/post_checkpoint_preflight.md	Machine-readable post-checkpoint Go/No-Go preflight audit	copied	2814
audits/post_checkpoint_preflight.tsv	3_evaluation/post_checkpoint_preflight.tsv	Machine-readable post-checkpoint preflight rows	copied	1941
scripts/run_v5_ready_to_final_package.sh	../../../scripts/run_v5_ready_to_final_package.sh	One-shot ready-to-final-package guarded launcher	copied	2876
audits/checkpoint_selection_contract_audit.md	2_training/05_checkpoint_selection/checkpoint_selection_contract_audit.md	Fixed 10K checkpoint selection contract audit	copied	1384
audits/live_training_health.md	2_training/live_training_health.md	Live MLM training health audit	copied	1681
audits/storage_readiness.md	2_training/storage_readiness.md	Storage/output readiness audit	copied	2999
audits/paired_launcher_transition.md	2_training/paired_launcher_transition.md	Random-to-FVT paired launcher transition audit	copied	1642
