point_id	language_script	language_name	status	script	family	macro_family	region	sample_idx	text
dtp_Latn:97	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	97	Au yolo nokoilo' kaka tulun oku Gipun.
dtp_Latn:98	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	98	Kuminiros iyau tontok do tumur tolu nohopod toun.
dtp_Latn:99	dtp_Latn	Kadazan Dusun	tail	Latn	Austronesian	Austronesian	Southeast Asia	99	Nakaanu i tongo pakaraja do rasuk pakakaraja, om tinantu diolo mooi pupu dilo kasasari.
xav_Latn:0	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	0	Taha wa, ni'wam norĩ hã timreme nai õ nherẽ, damreme dama ĩwaihu'u'õ na, 'Re ĩhâimana u'âsi mono te te dama 're sadawa wasu'u za'ra mono wamhã, ta norĩ hã te za duré te te tiwi 're rowaptẽrẽ za'ra, Ĩpẽ'ẽzani si romhuri te te tãma 're pisutu pese za'ra mono da, ta norĩ ma hã, damreme dama ĩwaihu'u'õ na 'Re ĩhâimana u'âsi mono zadawa wasu'u hã, sõ'awi te te oto dama 're wasu'u pese za'ra mono da.
xav_Latn:1	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	1	Tô sena wa za aima rowasu'u za'ra wa'wa. Asina 're ĩ̱'umnhasi za'ra wa'aba mono wamhã, te za ĩ̱waihu'u pese zarina 're ĩdapawaptob u'âsi za'ra wa'aba mo. A norĩ wa'wa hã 're ĩdapawaptob za'ra wa'aba mono zé hã, ĩ̱nhimipawaptobzé ma, sa'ẽtẽ di za. E marĩ wa. Wa hã Ĩ̱mama u za oto apâ ĩ̱morĩ wa.
xav_Latn:2	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	2	Tawamhã tãma ĩromhuri'wa norĩ hã 'ri tẽme wisi õ ré , ma tô sina uzusi za'ra . Ma tô tãma rowasu'u za'ra , ãne : — Ai'ra hã hâzé õ di . Rowẽ na te oto nhamra .
xav_Latn:3	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	3	Tawamhã Mozési hã ãne na te duré dama roti : “ Ã danhimizama wapru hã 'Re ĩhâimana u'âsi mono te te aima ĩropisutu za'ra wa'aba zé hã , pire na oto aima 're ĩhâimana za'ra wa'aba mono da hã , te aima wasu'u za'ra wa'wa . Taha wa , te te aima ãma ĩroti za'ra wa'aba zéb zarina , te za oto 're ĩ'madâ'â pese za'ra wa'aba mo , tãma ãma 're uwaimrami za'ra wa'aba mono da . ” Ãne te Mozési hã dama ãma roti .
xav_Latn:4	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	4	Timro me , te tineb zahuré Marizaha me , ĩsisi na , da te dame rob'ui'éré zahuré da . Wasã ré , te saprõ .
xav_Latn:5	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	5	'Re ĩhâimana u'âsi mono, ma tô aiwaihu'u, asima asimirosa'rata wasété na hã. Taha wa, a hã wanhimiromhuri zarina, romhuri waihu'u õ di za. Ta hã atei õ di.
xav_Latn:6	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	6	Ti'ai u we ĩmorĩ hã ma tô apâ mo, hâiwa nhipai u ropâ uburé da'madâ'â'wa dama 're hâimana mono da.
xav_Latn:7	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	7	Tawamhã ma tô oto dasiwi âri ni.
xav_Latn:8	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	8	Tawamhã dawana romhuri na te te ĩsãna'rata za'ra norĩ hã ma tô duré hâiba mono bâ waibu rob'uiprazé hã, aiwapsi. Tane nherẽ, te te waibui wamhã, ma tô tãma nharĩ za'ra, buru tede'wai ma, ĩsa'u romhuri na te te ĩsãna'rata za'ra norĩ pawa'âbâ nhipai u, te te waibui õ wa.
xav_Latn:9	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	9	Asiré ĩsazei'wa norĩ wi, marĩ zô tiwi 're ĩrowaptâ'â za'ra mono zéb zarina, te za asimarĩ na 're ĩpawaptob za'ra wa'aba mo. Duré darob amoi hawi atẽme 're sihutu aba mono wamhã, te za sô 're atob'uzu za'ra wa'aba mo, asiré ĩsazei'wa norĩ zô hã, asõrõwa u 're 'mazasi za'ra wa'aba mono da.
xav_Latn:10	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	10	Tawamhã dasiwa'rãmi te nasi tãma 'mahârâ za'ra ni, dasimana'rãmi hawi. Da te tãma wasu'u waré za'ra õ di. Dahârâ si'rahâri ahâ wamhã, ĩwasu'u uptabi hã te te waihu'u õ di, apito hã. Taha wa, da'wapéi'wa norĩ ma, ma tô ti'ru, Paru te te siwi saprõni da, tinhorõwa u.
xav_Latn:11	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	11	Tawamhã awa'awi ma tô Zezusi hã wama si'mahârâ za'ra : — Wa hã wa we atẽme ĩ̱morĩ 'wa . Ĩ̱ma aipahi za'ra wa'aba õ di za .
xav_Latn:12	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	12	Wa za a'â robzépata za'ẽtẽ . Te robzépata õ ré hã , rosa'rata ahâ di za .
xav_Latn:13	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	13	— Duré, 'Re ĩhâimana u'âsi mono ma, 're aimreme zusi aba mono wamhã, taré aimreme na 're sahu ahâ za'ra wa'aba mono õ di za apâre, 'Re ĩhâimana u'âsi mono hã te te 're aiwapari za'ra wa'aba mono õ newa. 'Re ĩhâimana u'âsi mono waihu'u'õ'wa norĩ si te timreme na te te tãma 're sahu u'âsi za'ra taré, taha zarina si te te 're pawaptob za'ra mono da newa.
xav_Latn:14	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	14	Ta hã te te 're wa'azawi pese mono wa, ma tô wama waihu'u, wa te 're rẽme pese za'ra mono da, ĩsazei'õ'wa norĩ hâimanazé hã, dawẽ te, wawasété zô wa te 're rowasutu tõ za'ra mono da, ti'ab ré wasina 're wanhiptete za'ra mono da, 'Re ĩhâimana u'âsi mono ãma si 're wanomro wẽ mono da.
xav_Latn:15	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	15	Ãté ni'wam norĩ hã asiré 're aihâimana za'ra wa'aba mono norĩ hã te za ãne 're sisadanharĩ za'ra: “E niha te za merẽ 'Re ĩhâimana u'âsi mono hã da'ahâiwa'utu. 'Re dadâ'â za'ra mono wa, 're dahâiba si'utõrĩ pese za'ra mono nherẽ, e niha te za merẽ ãne nherẽ, apâ da'ahâiwa'utu.”
xav_Latn:16	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	16	Da te aima 're rob'manharĩ wasété za'ra wa'aba mono nherẽ, te aima ĩroti za'ra wa'aba zéb zarina, ĩ̱mreme na si 're anomro aba mono wa, ma tô asina ĩ'uwaimrami za'ra wa'wa, ĩ̱nhimiroti hã. Taha wa, ropsi'utõrĩzéb u, za marĩ ĩpipa hã ĩwairébé mono hã wa za aima ba'a za'ra wa'wa, ĩwasété norĩ, za te te ĩda'apibui mono zéb ãma hã, ti'ai ãma daro mono bâ 're ĩdahâimana za'ra mono norĩ hã.
xav_Latn:17	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	17	Ni'wam norĩ hã Wanhib'apito wasu'uwẽ u 're sipizari za'ra mono wapsi, te za da'rã ubu ãna 're ĩdahâimana za'ra mono ne, 're hâimana u'âsi za'ra, ta norĩ ma si, oto waihu'u pese za'ra wa za.
xav_Latn:18	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	18	Tane te za Wanhib'apito hã duré rowasété hawi ĩ̱nho'reptu , hâiwa u te te ĩ̱'ãwisi wẽ da , tinhib'a'uwẽ norĩ te te 're ĩ'ab'madâ'â mono zéb u hã . Ta hã wẽ uptabi wa , aihĩni wa za ãma 're wawata u'âsi za'ra .
xav_Latn:19	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	19	Tawamhã ma duré tãma waihu'u za'ra: — 'Re ĩhâimana u'âsi mono hã da'ãma 're ĩsib'a'uwẽ mono zém na, wa za aima rowasu'u za'ra wa'wa, ãne. Aibâ hã ti'ai wa, te za amnho hã te te anhamra, poto mono da.
xav_Latn:20	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	20	Taha wa, Paru hã ma tô tinhib'rata na 'rã upi za'ra. Te te 'rã upi za'ra wamhã, ma tô 'Re ĩhâimana u'âsi mono hã Tipẽ'ẽzani hã tãma sõmri za'ra. Taha wa, te oto damreme tãma ĩwaihu'u za'ra õ na dama rowasu'u za'ra, hâiba mono bâ. Timreme nai õ nherẽ, 'Re ĩhâimana u'âsi mono, Tipẽ'ẽzani na te te tãma ĩwaihu'u za'ra zéb zarina, te oto mreme zu. 'Re ĩhâimana u'âsi mono zadawa wasu'u na te duré dama rowasu'u za'ra.
xav_Latn:21	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	21	Wa za oto marĩ na aima rowasu'u, ãma 're rosa'rata mono da. Nimahã na rob'rãsutu u hã romhuture wamhã, dama ropire di za.
xav_Latn:22	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	22	Ni'wam norĩ hã si'uihâ na tihâimanazép si te te sima 're sawi za'ra mono wamhã , rowẽ ĩsi'utõrĩ'õ hã te te sina 're uwaimrami za'ra mono õ di za . Ni'wam norĩ hã ĩ̱zarina 're nomro mono da , 're sihâiba zawi za'ra mono õ wapsi , te za te te sina 're uwaimrami za'ra , rowẽ hã .
xav_Latn:23	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	23	Wanhib'apito si wa tô ĩ̱sina umnhasi, te te ĩ̱ma pisutu da, ĩ̱zama ãma atẽme ĩ̱morĩ za'ra wa'aba da, romhutu na.
xav_Latn:24	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	24	Tawamhã Capana'u na 'ri nho'õmo nhisi u te oto mo, Zezusi hã. Ĩna zama te ĩsiré mo. Ĩno norĩ zama te ĩsiré ai'aba'ré. Wa norĩ zama, wa ĩsiré ai'aba'ré ni, ĩsiré 're wanomro mono wa. Tawamhã, wasihutu wamhã, syry na wa tame asimro ni.
xav_Latn:25	xav_Latn	Xavante	tail	Latn	Macro-Je	Macro-Je	South America	25	'Re ĩwanomro wasété mono hawi , ma tô te te 're wa'anho'reptu . E 're wanomro wẽ mono wa , duré e wa te dama 're rob'manharĩ wẽ za'ra mono wa , ma tô te te 're wa'anho'reptu . Mare di . Wa'ãma 're ĩpẽ'ẽzé mono zarina , ma tô te te 're wa'anho'reptu . Tipẽ'ẽzani te te wama 're ĩ'anhomri mono na , ma tô wapẽ'ẽ 're te te 're wa'apoto té . Wawasété hawi , ma tô wapẽ'ẽ 're , te te 're wa'a'upsõ , ãma 're wanomro wẽ mono da oto .
