model	fold	source	examples	corpus_bleu	corpus_chrfpp	sentence_mean_chrfpp	gain_vs_top1_sentence_mean	gap_to_oracle_sentence_mean	better_than_top1	tie_with_top1	worse_than_top1	oracle_rank_match	rank_counts	decision_counts
random_forest	5	validation_cv_fold	135	14.309332	41.673570	41.000717	0.371919	3.239422	15	104	16	82	1:104,2:18,3:7,4:2,5:2,6:1,7:1	KEEP_TOP1:104,REJECT_POOL:1,SWAP_TO_RANK_2:18,SWAP_TO_RANK_3:6,SWAP_TO_RANK_4:2,SWAP_TO_RANK_5:2,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:1
random_forest	oof	validation_oof	678	16.440563	43.280821	42.949991	0.739995	3.134932	106	500	72	426	1:498,2:97,3:37,4:13,5:12,6:7,7:6,8:8	KEEP_TOP1:498,REJECT_POOL:3,SWAP_TO_RANK_2:97,SWAP_TO_RANK_3:36,SWAP_TO_RANK_4:13,SWAP_TO_RANK_5:12,SWAP_TO_RANK_6:6,SWAP_TO_RANK_7:5,SWAP_TO_RANK_8:8
extra_trees	1	validation_cv_fold	136	17.511699	43.016429	44.071283	0.819311	3.129417	25	97	14	84	1:97,2:23,3:8,4:1,5:1,6:1,7:2,8:3	KEEP_TOP1:97,SWAP_TO_RANK_2:23,SWAP_TO_RANK_3:8,SWAP_TO_RANK_4:1,SWAP_TO_RANK_5:1,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:2,SWAP_TO_RANK_8:3
extra_trees	2	validation_cv_fold	136	15.860476	43.380571	43.184120	0.153066	3.184653	17	105	14	86	1:104,2:14,3:7,4:5,5:2,6:1,7:2,8:1	KEEP_TOP1:104,SWAP_TO_RANK_2:14,SWAP_TO_RANK_3:7,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:2,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:2,SWAP_TO_RANK_8:1
extra_trees	3	validation_cv_fold	136	18.401431	45.869820	44.445037	1.830663	2.219192	27	103	6	95	1:103,2:20,3:3,4:3,5:2,6:2,8:3	KEEP_TOP1:103,SWAP_TO_RANK_2:20,SWAP_TO_RANK_3:3,SWAP_TO_RANK_4:3,SWAP_TO_RANK_5:2,SWAP_TO_RANK_6:2,SWAP_TO_RANK_8:3
extra_trees	4	validation_cv_fold	135	16.450390	42.666694	42.512532	1.005546	3.423582	21	96	18	82	1:95,2:21,3:9,4:4,5:4,6:1,8:1	KEEP_TOP1:95,SWAP_TO_RANK_2:21,SWAP_TO_RANK_3:9,SWAP_TO_RANK_4:4,SWAP_TO_RANK_5:4,SWAP_TO_RANK_6:1,SWAP_TO_RANK_8:1
extra_trees	5	validation_cv_fold	135	14.113138	41.303003	40.763239	0.134441	3.476900	16	103	16	81	1:103,2:17,3:5,4:4,5:3,6:1,7:2	KEEP_TOP1:103,REJECT_POOL:1,SWAP_TO_RANK_2:17,SWAP_TO_RANK_3:5,SWAP_TO_RANK_4:3,SWAP_TO_RANK_5:3,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:2
extra_trees	oof	validation_oof	678	16.496508	43.272003	42.999246	0.789250	3.085677	106	504	68	428	1:502,2:95,3:32,4:17,5:12,6:6,7:6,8:8	KEEP_TOP1:502,REJECT_POOL:1,SWAP_TO_RANK_2:95,SWAP_TO_RANK_3:32,SWAP_TO_RANK_4:16,SWAP_TO_RANK_5:12,SWAP_TO_RANK_6:6,SWAP_TO_RANK_7:6,SWAP_TO_RANK_8:8
gradient_boosting	1	validation_cv_fold	136	17.405426	42.929801	44.002693	0.750721	3.198007	28	90	18	86	1:90,2:32,3:5,4:2,6:2,7:3,8:2	KEEP_TOP1:90,SWAP_TO_RANK_2:32,SWAP_TO_RANK_3:5,SWAP_TO_RANK_4:2,SWAP_TO_RANK_6:2,SWAP_TO_RANK_7:3,SWAP_TO_RANK_8:2
gradient_boosting	2	validation_cv_fold	136	15.890656	43.594724	43.449922	0.418868	2.918851	20	102	14	88	1:101,2:16,3:9,4:5,5:3,6:1,8:1	KEEP_TOP1:101,REJECT_POOL:1,SWAP_TO_RANK_2:16,SWAP_TO_RANK_3:9,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:3,SWAP_TO_RANK_8:1
gradient_boosting	3	validation_cv_fold	136	17.923722	45.818173	44.236368	1.621994	2.427861	27	103	6	96	1:103,2:17,3:2,4:5,5:3,6:2,8:4	KEEP_TOP1:103,SWAP_TO_RANK_2:17,SWAP_TO_RANK_3:2,SWAP_TO_RANK_4:5,SWAP_TO_RANK_5:3,SWAP_TO_RANK_6:2,SWAP_TO_RANK_8:4
gradient_boosting	4	validation_cv_fold	135	15.658248	42.588185	42.624133	1.117146	3.311982	23	94	18	83	1:93,2:20,3:11,4:2,5:4,6:3,8:2	KEEP_TOP1:93,REJECT_POOL:1,SWAP_TO_RANK_2:20,SWAP_TO_RANK_3:11,SWAP_TO_RANK_4:2,SWAP_TO_RANK_5:4,SWAP_TO_RANK_6:2,SWAP_TO_RANK_8:2
gradient_boosting	5	validation_cv_fold	135	14.216945	41.602541	41.083354	0.454556	3.156785	17	103	15	84	1:103,2:17,3:6,4:3,5:3,6:2,7:1	KEEP_TOP1:103,REJECT_POOL:1,SWAP_TO_RANK_2:17,SWAP_TO_RANK_3:6,SWAP_TO_RANK_4:3,SWAP_TO_RANK_5:3,SWAP_TO_RANK_6:1,SWAP_TO_RANK_7:1
gradient_boosting	oof	validation_oof	678	16.248140	43.332093	43.082909	0.872913	3.002014	115	492	71	437	1:490,2:102,3:33,4:17,5:13,6:10,7:4,8:9	KEEP_TOP1:490,REJECT_POOL:3,SWAP_TO_RANK_2:102,SWAP_TO_RANK_3:33,SWAP_TO_RANK_4:17,SWAP_TO_RANK_5:13,SWAP_TO_RANK_6:7,SWAP_TO_RANK_7:4,SWAP_TO_RANK_8:9
