pair_id	source	pair_type	language_script_a	language_script_b	group	item_index	text_a	text_b	note
tatoeba:dtp_Latn:10:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	10	Nokoumbal kou nokorongou diti tangon no?	Have you heard this story already?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:11:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	11	Obuli ko' daa lumisok kaka ri?	Can you keep a secret?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:12:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	12	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.	A piano is expensive, but a car is more expensive.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:13:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	13	Minsingilo' ko' nangku boros Inggilis?	Do you study English?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:14:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	14	Milo' oku daa mokianu kamus nu?	May I borrow your dictionary?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:15:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	15	Otopot toi maso id jam nu?	Is your watch correct?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:16:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	16	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.	Some scientists predict that the world oil reserves will be used up within a century.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:17:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	17	Manu ko' do apol?	Do you like apples?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:18:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	18	Mada oku dii.	I don't think so.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:19:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	19	Olumis ilo wotik.	That's a pretty colour.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:20:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	20	Au oku nokoilo nunu o taakan ku kosodop.	I can't remember what I ate last night.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:21:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	21	Nokoumbal ko' minoi hilo'd Paris di gulu?	Have you ever been to Paris?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:22:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	22	Kikaraja isido dot oruhai sabaagi do mananaip.	She got a part-time job as a typist.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:23:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	23	Manahak nopo do tunturu tokoro nga onuan disio do tunturu ngai iso longon.	Give someone the little finger, and he will take the whole hand.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:24:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	24	Muhot oku diya po toruhai kio.	I want to ask you one last favor.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:25:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	25	Ih singa nopo nga wowoyoon hiri'd gowuton.	The lion is the king of the jungle.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:26:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	26	Au tagal tikit.	No tickets are needed.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:27:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	27	Au tagal yahai ponongkiboros diolo.	We don't need to talk to them.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:28:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	28	Nunu binoli nu?	What did you buy?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:29:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	29	Obulou ilo tawan.	The sky is blue.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:30:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	30	Orohian nogi mintong do pulitik tulun Amorika kokomoi do timpu pomilian do pirisidion.	It's interesting to observe American politics, especially during a presidential election.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:31:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	31	Iti nopo nga bunsiling di Mike.	This is Mike's bicycle.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:32:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	32	I Tom nopo nga tambalut di tosonong, nga miagal do bakas kokitanan dau om iri no sabap au oku songkuro muhang dau.	Tom is very good friend, but he looks like a wild boar so I don't consider him a potential love interest.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:33:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	33	I Andi Smith songulun mongigia boros Inggilis?	Is Mrs. Smith an English teacher?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:34:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	34	Papapanau i Tom korita di Mary montok pakayaan hilo'd id Boston.	Tom drove Mary's car to Boston.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:35:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	35	Nokuro tu apatut yahai maan dilo?	Why would we need to do that?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:36:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	36	Apatut no korikot i Tom hilo'd pogun Australia dinondo.	Tom should already be in Australia by now.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:37:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	37	Maan oku do tosikap kio.	I have to hurry!	same_meaning_aligned_with_english
tatoeba:dtp_Latn:38:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	38	Umbalan ku no koti.	I have to try.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:39:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	39	Rongoho no sawo nu oi Tom.	Listen to your wife, Tom.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:40:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	40	Atuukoi, iti nopo nga tangaraat nodi!	Oh my god, it's complete chaos!	same_meaning_aligned_with_english
tatoeba:dtp_Latn:41:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	41	Ongotumbayaan i toinsanan.	Everybody believes it.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:42:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	42	Amu kopunong sisimbar nu.	Your answer is wrong.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:43:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	43	Poopio ilo rinomos id labus.	Put the garbage outside.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:44:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	44	Otopot ko diti?	Are you sure this is real?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:45:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	45	Awasiu iti waig do tikanas.	This soup tastes good.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:46:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	46	Mamaraag i tongo injiniur dilo sunsuyon tu karaag dot oruhai.	The engineers blew up the bridge because it was about to collapse.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:47:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	47	Honggo ko dii?	Where are you?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:48:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	48	Au oku milo wonsoyon dilo nga mogot daa haro uhupan di Tom.	I can't do that unless I have Tom's help.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:49:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	49	Kapatai matu iyau id onom tulan kangku daa.	I have expected his death for six months.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:50:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	50	Olunggui oku om ohuyan i.	I'm broke and tired.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:51:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	51	Mumang ko doho iyadaan?	Do you want me to leave?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:52:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	52	Mintong oku po kalandor ku.	Let me check my calendar.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:53:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	53	Mulau yahai kangku daa.	I think we're all a bit crazy.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:54:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	54	Mongowit oku dau muli walai kama.	I should get him home.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:55:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	55	Kumoiso isio hiti'd gana'.	He was a pioneer in this field.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:56:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	56	Au oku mokiuhup mantad dika.	I haven't asked you for help.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:57:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	57	Nunu o mangan nu?	What do you think you're doing?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:58:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	58	Nunu o tosorou nu?	What are you thinking?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:59:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	59	Alansan no daa korongou ko.	I wish you'd listen.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:60:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	60	Minaan oku do pomusarahan dot osinang.	I made a lucky guess.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:61:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	61	Miagal o Labit maya kawo o bongol om bosing.	Rabbits are related to beavers and squirrels.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:62:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	62	Nunu ilo?	What is that?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:63:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	63	Posik no.	It's time to get up.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:64:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	64	Aiso tulun milo poimpasi gisom do duo nahatus toun.	Nobody can live to be two hundred years old.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:65:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	65	Norongou oku dilo pomoinan nopo ti nga au mangasou pimbalajaran nu. Nga montok doho au milo.	I've noticed that having fun doesn't interfere at all with your studies. I just can't.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:66:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	66	Momupu isido do gonob dau.	She washes her skirt.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:67:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	67	Nung kosorou oku diri tootopot nga pinapadagang i Tom do korita dau kumaa di Mary do gatang 500 Dollar nopo.	If I remember correctly, Tom sold his car to Mary for only 500 dollars.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:68:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	68	Maai no awi ti.	Let's end this.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:69:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	69	Au noukab po Tatoeba.org tu haro kinoundaran.	Tatoeba.org is offline for maintenance.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:70:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	70	Osonong no maan nu dilo.	You'd be good at it.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:71:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	71	Obuli oku mamalanja dokoyu do tiinumon?	Can I offer you a drink?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:72:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	72	I tanak ti nopo nga tanak ku.	This boy is my son.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:73:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	73	Au yau noilaan kaka yoku nopo nga i tulun Gipun.	She doesn't know that I'm Japanese.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:74:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	74	Somoonu yahai kopibooboros dilo kawagu.	I'd rather discuss this at a later time.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:75:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	75	Orohian i Ania do kompiuto.	Ania is interested in computers.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:76:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	76	Napatai i Tom id toun 2013 tu toruol do Pneumonia.	Tom died in 2013 of pneumonia.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:77:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	77	Apatut ko popoundaliu dilo?	Will I have to move?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:78:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	78	Iman-imanon ku nopo nga mongugusap.	My aim is to be a doctor.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:79:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	79	Milo' oku mambarai baino?	Can I order now?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:80:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	80	Milo' oku mambarai lo tiso?	Can I order one?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:81:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	81	Maan oku awasi kumaa Tom bo.	I'll be good to Tom.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:82:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	82	A'haro duo susumikul hiti'd kalas dinondo.	Two students are absent today.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:83:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	83	Haro isai milo' monguhup doho?	Can someone help me?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:84:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	84	Milo' oku moboros montok Tom.	I can speak to Tom.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:85:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	85	Milo' ko' mangandad maya doho.	You can stay with me.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:86:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	86	Milo' ko' mangandad maya dahai.	You can stay with us.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:87:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	87	Nokokito do Tom kangku daa.	I bet it was Tom.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:88:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	88	Milo' ko' moboros montok Tom.	You can talk to Tom.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:89:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	89	Milo' otumbayaan kaka i Tom?	Can Tom be trusted?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:90:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	90	Ingkuro no maan i Tom dilo?	How can Tom do that?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:91:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	91	Kasaga' tokou maan dilo?	Can we afford that?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:92:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	92	Kasaga' tokou maan diti?	Can we afford this?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:93:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	93	Ruminikot iyahai mantad mogisuwai-suwai o bansa om boros, nga’ koinsanai dahai nosompuru id hontolon di miagal. Lobi’ mantad ko’ nunu nopo, manu iyahai do momusou di Yohuwah, Kinorohingan di rinait id Baibol om i Minomorun do koinsanai’d nunu nopo. Monotos iyahai do momit di Yesus Kristus om oondos iyahai do roitan tulun Kristian. Monikid dahai nga’ mamakai maso bagi’d monguhup tulun suwai do minsingilo’d Baibol om Pomorintaan do Kinorohingan. Iyo do sasi’, mimboros iyahai pasal di Yohuwah, i Kinorohingan om pomorintaan Dau, om iri noddi do roitan iyahai’d Sasi-sasi’d Yohuwah.	We come from hundreds of ethnic and language backgrounds, yet we are united by common goals. Above all, we want to honor Jehovah, the God of the Bible and the Creator of all things. We do our best to imitate Jesus Christ and are proud to be called Christians. Each of us regularly spends time helping people learn about the Bible and God’s Kingdom. Because we witness, or talk, about Jehovah God and his Kingdom, we are known as Jehovah’s Witnesses.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:94:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	94	Alaid oku au nokopikito diya!	I haven't seen you for so long!	same_meaning_aligned_with_english
tatoeba:dtp_Latn:95:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	95	Haro no susumikul do poingirikau hilo om mogiakan-akan.	Some students were sitting on the bench and having lunch.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:96:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	96	Hiti no pakarajaan ku.	That's where I work.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:97:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	97	Otopot nodi toilaan nu dot osonong, nga iri podi kaala tu osusa o momonsoi dilo.	It is true that yours is a good idea, but I am afraid it will be hard to put into practice.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:98:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	98	Nung yoho nopo diya nga au oku mongoi maan dilo.	If I were you, I wouldn't do a thing like that.	same_meaning_aligned_with_english
tatoeba:dtp_Latn:99:aligned	tatoeba	aligned_tatoeba_src_eng	dtp_Latn	eng_Latn	v5_target	99	Hinonggo oku milo' momoug?	Where can I wash up?	same_meaning_aligned_with_english
tatoeba:dtp_Latn:0:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	0	Songkuro ginayo lo?	Langad-langadon ku diya!	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:1:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	1	Langad-langadon ku diya!	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:2:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	2	Tuminongkiad oku id solinaid piginawaan ku maya tanakwagu ku do tolu' toun di tinu.	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:3:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	3	Nokoilo' oku papapanau do korita lolobi po mantad duo nohopod toun.	Luminabus i Tom.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:4:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	4	Luminabus i Tom.	Manu oku poposolon di Tom.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:5:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	5	Manu oku poposolon di Tom.	Orohian ko' do kumaau.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:6:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	6	Orohian ko' do kumaau.	Au kou mangandad no sominggu?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:7:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	7	Au kou mangandad no sominggu?	Osonong tomod ura tinan nu mantad doho.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:8:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	8	Osonong tomod ura tinan nu mantad doho.	Mamadil oku kama dau.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:9:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	9	Mamadil oku kama dau.	Nokoumbal kou nokorongou diti tangon no?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:10:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	10	Nokoumbal kou nokorongou diti tangon no?	Obuli ko' daa lumisok kaka ri?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:11:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	11	Obuli ko' daa lumisok kaka ri?	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:12:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	12	Apagon gatang ilo piano nga lobi apagon gatang nogi iri korita.	Minsingilo' ko' nangku boros Inggilis?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:13:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	13	Minsingilo' ko' nangku boros Inggilis?	Milo' oku daa mokianu kamus nu?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:14:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	14	Milo' oku daa mokianu kamus nu?	Otopot toi maso id jam nu?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:15:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	15	Otopot toi maso id jam nu?	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:16:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	16	Tinantu i pososoriuk nopo tumau sompomogunan nga milo' gompion gisom do hatus toun tobontol.	Manu ko' do apol?	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:17:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	17	Manu ko' do apol?	Mada oku dii.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:18:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	18	Mada oku dii.	Olumis ilo wotik.	same_language_adjacent_different_sentence
tatoeba:dtp_Latn:19:same_language	tatoeba	same_language_tatoeba_adjacent	dtp_Latn	dtp_Latn	v5_target	19	Olumis ilo wotik.	Au oku nokoilo nunu o taakan ku kosodop.	same_language_adjacent_different_sentence
