metric	summary_group	model_key	score_name	score_value	aux_score_name	aux_score_value	direction	source_file
retrieval_tatoeba	head	xlmr_base	top10_accuracy	0.656309	languages	63	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_tatoeba/xlmr_base/xlm-roberta-base/test_results.txt
retrieval_bible	all	glot500_base	top10_accuracy	0.509356	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/glot500_base/cis-lmu__glot500-base/test_results.txt
retrieval_bible	head	glot500_base	top10_accuracy	0.509356	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/glot500_base/cis-lmu__glot500-base/test_results.txt
retrieval_bible	all	v5_fvt	top10_accuracy	0.370349	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
retrieval_bible	head	v5_fvt	top10_accuracy	0.370349	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_fvt/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_fvt_mlm_10k/test_results.txt
retrieval_bible	all	v5_random	top10_accuracy	0.328019	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
retrieval_bible	head	v5_random	top10_accuracy	0.328019	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/v5_random/__home__axt__mnt2__jongha__v5_glot50010__runs__v5_random_mlm_10k/test_results.txt
retrieval_bible	all	xlmr_base	top10_accuracy	0.381153	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt
retrieval_bible	head	xlmr_base	top10_accuracy	0.381153	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/retrieval_bible/xlmr_base/xlm-roberta-base/test_results.txt
roundtrip_alignment	all	glot500_base	accuracy	0.205189	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/glot500_base/test_results.txt
roundtrip_alignment	head	glot500_base	accuracy	0.205189	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/glot500_base/test_results.txt
roundtrip_alignment	all	v5_random	accuracy	0.190300	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/v5_random/test_results.txt
roundtrip_alignment	head	v5_random	accuracy	0.190300	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/v5_random/test_results.txt
roundtrip_alignment	all	xlmr_base	accuracy	0.185300	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/xlmr_base/test_results.txt
roundtrip_alignment	head	xlmr_base	accuracy	0.185300	languages	74	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/roundtrip_alignment/xlmr_base/test_results.txt
text_classification	head	glot500_base	macro_f1	0.7433377152310138	accuracy	0.7567567567567568	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/glot500_base/summary.json
text_classification	all	glot500_base	macro_f1	0.7433377152310138	accuracy	0.7567567567567568	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/glot500_base/summary.json
text_classification	head	v5_fvt	macro_f1	0.7177963620483886	accuracy	0.7837837837837838	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json
text_classification	all	v5_fvt	macro_f1	0.7177963620483886	accuracy	0.7837837837837838	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_fvt/summary.json
text_classification	head	v5_random	macro_f1	0.7029564005875849	accuracy	0.7477477477477478	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json
text_classification	all	v5_random	macro_f1	0.7029564005875849	accuracy	0.7477477477477478	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/v5_random/summary.json
text_classification	head	xlmr_base	macro_f1	0.5928758396843503	accuracy	0.7297297297297297	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/xlmr_base/summary.json
text_classification	all	xlmr_base	macro_f1	0.5928758396843503	accuracy	0.7297297297297297	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/text_classification/taxi1500/xlmr_base/summary.json
ner	all	glot500_base	f1	0.627108	languages	164	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
ner	head	glot500_base	f1	0.645915	languages	78	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
ner	v5_target	glot500_base	f1	0.553191	languages	1	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/glot500_base/glot500-base/test_results.txt
ner	all	v5_random	f1	0.544628	languages	164	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
ner	head	v5_random	f1	0.608020	languages	78	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
ner	v5_target	v5_random	f1	0.560554	languages	1	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/v5_random/v5_random_mlm_10k/test_results.txt
ner	all	xlmr_base	f1	0.549858	languages	164	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
ner	head	xlmr_base	f1	0.621207	languages	78	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
ner	v5_target	xlmr_base	f1	0.459364	languages	1	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/ner/xlmr_base/xlm-roberta-base/test_results.txt
pos	all	glot500_base	f1	0.567542	languages	18	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/glot500_base/glot500-base/test_results.txt
pos	head	glot500_base	f1	0.573832	languages	9	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/glot500_base/glot500-base/test_results.txt
pos	all	v5_random	f1	0.481102	languages	18	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/v5_random/v5_random_mlm_10k/test_results.txt
pos	head	v5_random	f1	0.587430	languages	9	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/v5_random/v5_random_mlm_10k/test_results.txt
pos	all	xlmr_base	f1	0.481336	languages	18	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/xlmr_base/xlm-roberta-base/test_results.txt
pos	head	xlmr_base	f1	0.571446	languages	9	higher_is_better	/home/axt/mnt2/jongha/v5_glot50010/evaluation/pos/xlmr_base/xlm-roberta-base/test_results.txt
