metric	summary_group	method	step	model_key	score_name	score_value	aux_score_name	aux_score_value	direction	source_file
pos	head	random	4000	v52_random_step4000	f1	0.580012	languages	58	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_random_step4000/checkpoint-4000/test_results.txt
pos	v5_target	fvt	4000	v52_fvt_step4000	f1	0.244075	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_fvt_step4000/checkpoint-4000/test_results.txt
pos	v5_target	mean	4000	v52_mean_step4000	f1	0.248119	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_mean_step4000/checkpoint-4000/test_results.txt
pos	v5_target	random	4000	v52_random_step4000	f1	0.244422	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/pos/v52_random_step4000/checkpoint-4000/test_results.txt
pseudoperplexity	all	align	500	v52_align_step500	weighted_pseudo_perplexity	161.877958	weighted_mean_nll	5.086843	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step500/summary.tsv
pseudoperplexity	all	fvt	500	v52_fvt_step500	weighted_pseudo_perplexity	161.877958	weighted_mean_nll	5.086843	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step500/summary.tsv
pseudoperplexity	all	mean	500	v52_mean_step500	weighted_pseudo_perplexity	479.424743	weighted_mean_nll	6.172587	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step500/summary.tsv
pseudoperplexity	all	random	500	v52_random_step500	weighted_pseudo_perplexity	374.606977	weighted_mean_nll	5.925877	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step500/summary.tsv
pseudoperplexity	all	align	1000	v52_align_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1000/summary.tsv
pseudoperplexity	all	fvt	1000	v52_fvt_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step1000/summary.tsv
pseudoperplexity	all	mean	1000	v52_mean_step1000	weighted_pseudo_perplexity	270.934481	weighted_mean_nll	5.601877	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step1000/summary.tsv
pseudoperplexity	all	random	1000	v52_random_step1000	weighted_pseudo_perplexity	241.797413	weighted_mean_nll	5.488100	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step1000/summary.tsv
pseudoperplexity	all	align	1500	v52_align_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1500/summary.tsv
pseudoperplexity	all	fvt	1500	v52_fvt_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step1500/summary.tsv
pseudoperplexity	all	mean	1500	v52_mean_step1500	weighted_pseudo_perplexity	208.204215	weighted_mean_nll	5.338519	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step1500/summary.tsv
pseudoperplexity	all	random	1500	v52_random_step1500	weighted_pseudo_perplexity	190.915409	weighted_mean_nll	5.251830	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step1500/summary.tsv
pseudoperplexity	all	align	2000	v52_align_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2000/summary.tsv
pseudoperplexity	all	fvt	2000	v52_fvt_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step2000/summary.tsv
pseudoperplexity	all	mean	2000	v52_mean_step2000	weighted_pseudo_perplexity	172.580672	weighted_mean_nll	5.150865	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step2000/summary.tsv
pseudoperplexity	all	random	2000	v52_random_step2000	weighted_pseudo_perplexity	160.498560	weighted_mean_nll	5.078285	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step2000/summary.tsv
pseudoperplexity	all	align	2500	v52_align_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2500/summary.tsv
pseudoperplexity	all	fvt	2500	v52_fvt_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step2500/summary.tsv
pseudoperplexity	all	mean	2500	v52_mean_step2500	weighted_pseudo_perplexity	150.454629	weighted_mean_nll	5.013662	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step2500/summary.tsv
pseudoperplexity	all	random	2500	v52_random_step2500	weighted_pseudo_perplexity	145.951840	weighted_mean_nll	4.983277	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step2500/summary.tsv
pseudoperplexity	all	align	3000	v52_align_step3000	weighted_pseudo_perplexity	61.603757	weighted_mean_nll	4.120723	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step3000/summary.tsv
pseudoperplexity	all	fvt	3000	v52_fvt_step3000	weighted_pseudo_perplexity	61.603757	weighted_mean_nll	4.120723	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step3000/summary.tsv
pseudoperplexity	all	mean	3000	v52_mean_step3000	weighted_pseudo_perplexity	138.513402	weighted_mean_nll	4.930967	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step3000/summary.tsv
pseudoperplexity	all	random	3000	v52_random_step3000	weighted_pseudo_perplexity	133.106839	weighted_mean_nll	4.891152	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step3000/summary.tsv
pseudoperplexity	all	align	3500	v52_align_step3500	weighted_pseudo_perplexity	58.939731	weighted_mean_nll	4.076515	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step3500/summary.tsv
pseudoperplexity	all	fvt	3500	v52_fvt_step3500	weighted_pseudo_perplexity	58.939731	weighted_mean_nll	4.076515	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step3500/summary.tsv
pseudoperplexity	all	mean	3500	v52_mean_step3500	weighted_pseudo_perplexity	131.012510	weighted_mean_nll	4.875293	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step3500/summary.tsv
pseudoperplexity	all	random	3500	v52_random_step3500	weighted_pseudo_perplexity	121.631484	weighted_mean_nll	4.800996	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step3500/summary.tsv
pseudoperplexity	all	align	4000	v52_align_step4000	weighted_pseudo_perplexity	58.025602	weighted_mean_nll	4.060884	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step4000/summary.tsv
pseudoperplexity	all	fvt	4000	v52_fvt_step4000	weighted_pseudo_perplexity	58.025602	weighted_mean_nll	4.060884	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step4000/summary.tsv
pseudoperplexity	all	mean	4000	v52_mean_step4000	weighted_pseudo_perplexity	128.258830	weighted_mean_nll	4.854050	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step4000/summary.tsv
pseudoperplexity	all	random	4000	v52_random_step4000	weighted_pseudo_perplexity	119.581715	weighted_mean_nll	4.784000	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step4000/summary.tsv
pseudoperplexity	v5_target	align	500	v52_align_step500	weighted_pseudo_perplexity	161.877958	weighted_mean_nll	5.086843	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step500/summary.tsv
pseudoperplexity	v5_target	fvt	500	v52_fvt_step500	weighted_pseudo_perplexity	161.877958	weighted_mean_nll	5.086843	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step500/summary.tsv
pseudoperplexity	v5_target	mean	500	v52_mean_step500	weighted_pseudo_perplexity	479.424743	weighted_mean_nll	6.172587	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step500/summary.tsv
pseudoperplexity	v5_target	random	500	v52_random_step500	weighted_pseudo_perplexity	374.606977	weighted_mean_nll	5.925877	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step500/summary.tsv
pseudoperplexity	v5_target	align	1000	v52_align_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1000/summary.tsv
pseudoperplexity	v5_target	fvt	1000	v52_fvt_step1000	weighted_pseudo_perplexity	108.603835	weighted_mean_nll	4.687707	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step1000/summary.tsv
pseudoperplexity	v5_target	mean	1000	v52_mean_step1000	weighted_pseudo_perplexity	270.934481	weighted_mean_nll	5.601877	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step1000/summary.tsv
pseudoperplexity	v5_target	random	1000	v52_random_step1000	weighted_pseudo_perplexity	241.797413	weighted_mean_nll	5.488100	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step1000/summary.tsv
pseudoperplexity	v5_target	align	1500	v52_align_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step1500/summary.tsv
pseudoperplexity	v5_target	fvt	1500	v52_fvt_step1500	weighted_pseudo_perplexity	90.288642	weighted_mean_nll	4.503012	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step1500/summary.tsv
pseudoperplexity	v5_target	mean	1500	v52_mean_step1500	weighted_pseudo_perplexity	208.204215	weighted_mean_nll	5.338519	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step1500/summary.tsv
pseudoperplexity	v5_target	random	1500	v52_random_step1500	weighted_pseudo_perplexity	190.915409	weighted_mean_nll	5.251830	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step1500/summary.tsv
pseudoperplexity	v5_target	align	2000	v52_align_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2000/summary.tsv
pseudoperplexity	v5_target	fvt	2000	v52_fvt_step2000	weighted_pseudo_perplexity	75.258020	weighted_mean_nll	4.320922	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step2000/summary.tsv
pseudoperplexity	v5_target	mean	2000	v52_mean_step2000	weighted_pseudo_perplexity	172.580672	weighted_mean_nll	5.150865	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step2000/summary.tsv
pseudoperplexity	v5_target	random	2000	v52_random_step2000	weighted_pseudo_perplexity	160.498560	weighted_mean_nll	5.078285	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step2000/summary.tsv
pseudoperplexity	v5_target	align	2500	v52_align_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step2500/summary.tsv
pseudoperplexity	v5_target	fvt	2500	v52_fvt_step2500	weighted_pseudo_perplexity	66.575042	weighted_mean_nll	4.198330	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step2500/summary.tsv
pseudoperplexity	v5_target	mean	2500	v52_mean_step2500	weighted_pseudo_perplexity	150.454629	weighted_mean_nll	5.013662	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step2500/summary.tsv
pseudoperplexity	v5_target	random	2500	v52_random_step2500	weighted_pseudo_perplexity	145.951840	weighted_mean_nll	4.983277	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step2500/summary.tsv
pseudoperplexity	v5_target	align	3000	v52_align_step3000	weighted_pseudo_perplexity	61.603757	weighted_mean_nll	4.120723	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step3000/summary.tsv
pseudoperplexity	v5_target	fvt	3000	v52_fvt_step3000	weighted_pseudo_perplexity	61.603757	weighted_mean_nll	4.120723	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step3000/summary.tsv
pseudoperplexity	v5_target	mean	3000	v52_mean_step3000	weighted_pseudo_perplexity	138.513402	weighted_mean_nll	4.930967	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step3000/summary.tsv
pseudoperplexity	v5_target	random	3000	v52_random_step3000	weighted_pseudo_perplexity	133.106839	weighted_mean_nll	4.891152	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step3000/summary.tsv
pseudoperplexity	v5_target	align	3500	v52_align_step3500	weighted_pseudo_perplexity	58.939731	weighted_mean_nll	4.076515	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step3500/summary.tsv
pseudoperplexity	v5_target	fvt	3500	v52_fvt_step3500	weighted_pseudo_perplexity	58.939731	weighted_mean_nll	4.076515	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step3500/summary.tsv
pseudoperplexity	v5_target	mean	3500	v52_mean_step3500	weighted_pseudo_perplexity	131.012510	weighted_mean_nll	4.875293	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step3500/summary.tsv
pseudoperplexity	v5_target	random	3500	v52_random_step3500	weighted_pseudo_perplexity	121.631484	weighted_mean_nll	4.800996	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step3500/summary.tsv
pseudoperplexity	v5_target	align	4000	v52_align_step4000	weighted_pseudo_perplexity	58.025602	weighted_mean_nll	4.060884	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_align_step4000/summary.tsv
pseudoperplexity	v5_target	fvt	4000	v52_fvt_step4000	weighted_pseudo_perplexity	58.025602	weighted_mean_nll	4.060884	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_fvt_step4000/summary.tsv
pseudoperplexity	v5_target	mean	4000	v52_mean_step4000	weighted_pseudo_perplexity	128.258830	weighted_mean_nll	4.854050	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_mean_step4000/summary.tsv
pseudoperplexity	v5_target	random	4000	v52_random_step4000	weighted_pseudo_perplexity	119.581715	weighted_mean_nll	4.784000	lower_is_better	/home/axt/jongha/Glot500-py39-eval/docs/exp/v5.2/3_evaluation/01_pseudoperplexity/v52_random_step4000/summary.tsv
retrieval_bible	all	fvt	4000	v52_fvt_step4000	top10_accuracy	0.006431	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_fvt_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	all	mean	4000	v52_mean_step4000	top10_accuracy	0.006096	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	all	random	4000	v52_random_step4000	top10_accuracy	0.006399	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	v5_target	fvt	4000	v52_fvt_step4000	top10_accuracy	0.006431	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_fvt_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	v5_target	mean	4000	v52_mean_step4000	top10_accuracy	0.006096	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_mean_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-4000/test_results.txt
retrieval_bible	v5_target	random	4000	v52_random_step4000	top10_accuracy	0.006399	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_bible/v52_random_step4000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-4000/test_results.txt
retrieval_tatoeba	all	align	500	v52_align_step500	top10_accuracy	0.223194	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_align_step500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_align_mlm_8h__checkpoint-500/test_results.txt
retrieval_tatoeba	all	fvt	500	v52_fvt_step500	top10_accuracy	0.223194	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-500/test_results.txt
retrieval_tatoeba	all	mean	500	v52_mean_step500	top10_accuracy	0.217194	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-500/test_results.txt
retrieval_tatoeba	all	random	500	v52_random_step500	top10_accuracy	0.209241	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-500/test_results.txt
retrieval_tatoeba	all	align	1000	v52_align_step1000	top10_accuracy	0.254813	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_align_step1000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_align_mlm_8h__checkpoint-1000/test_results.txt
retrieval_tatoeba	all	fvt	1000	v52_fvt_step1000	top10_accuracy	0.254813	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step1000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-1000/test_results.txt
retrieval_tatoeba	all	mean	1000	v52_mean_step1000	top10_accuracy	0.214241	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step1000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-1000/test_results.txt
retrieval_tatoeba	all	random	1000	v52_random_step1000	top10_accuracy	0.222845	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step1000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-1000/test_results.txt
retrieval_tatoeba	all	align	1500	v52_align_step1500	top10_accuracy	0.265353	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_align_step1500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_align_mlm_8h__checkpoint-1500/test_results.txt
retrieval_tatoeba	all	fvt	1500	v52_fvt_step1500	top10_accuracy	0.265353	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step1500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-1500/test_results.txt
retrieval_tatoeba	all	mean	1500	v52_mean_step1500	top10_accuracy	0.235511	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step1500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-1500/test_results.txt
retrieval_tatoeba	all	random	1500	v52_random_step1500	top10_accuracy	0.239559	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step1500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-1500/test_results.txt
retrieval_tatoeba	all	align	2000	v52_align_step2000	top10_accuracy	0.274544	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_align_step2000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_align_mlm_8h__checkpoint-2000/test_results.txt
retrieval_tatoeba	all	fvt	2000	v52_fvt_step2000	top10_accuracy	0.274544	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_fvt_step2000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_fvt_mlm_8h__checkpoint-2000/test_results.txt
retrieval_tatoeba	all	mean	2000	v52_mean_step2000	top10_accuracy	0.235162	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_mean_step2000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_mean_mlm_8h__checkpoint-2000/test_results.txt
retrieval_tatoeba	all	random	2000	v52_random_step2000	top10_accuracy	0.245495	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_random_step2000/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_random_mlm_8h__checkpoint-2000/test_results.txt
retrieval_tatoeba	all	align	2500	v52_align_step2500	top10_accuracy	0.290893	languages	3	higher_is_better	/home/axt/mnt2/jongha/v5.2_glot5007/evaluation/retrieval_tatoeba/v52_align_step2500/__home__axt__mnt2__jongha__v5.2_glot5007__runs__v52_align_mlm_8h__checkpoint-2500/test_results.txt
