language_script	language	group	flag	status	source_file	english_file	shared_verses	src_output	eng_output
amh_Ethi	amh	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/amh-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7642	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.amh_Ethi-eng_Latn.amh_Ethi	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.amh_Ethi-eng_Latn.eng_Latn
epo_Latn	epo	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/epo-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.epo_Latn-eng_Latn.epo_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.epo_Latn-eng_Latn.eng_Latn
bel_Cyrl	bel	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/bel-x-bible-bokun.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bel_Cyrl-eng_Latn.bel_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bel_Cyrl-eng_Latn.eng_Latn
xho_Latn	xho	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/xho-x-bible-1996.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7814	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.xho_Latn-eng_Latn.xho_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.xho_Latn-eng_Latn.eng_Latn
hin_Deva	hin	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/hin-x-bible-bsi.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7902	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hin_Deva-eng_Latn.hin_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hin_Deva-eng_Latn.eng_Latn
tam_Taml	tam	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/tam-x-bible-easy.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7894	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tam_Taml-eng_Latn.tam_Taml	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tam_Taml-eng_Latn.eng_Latn
mon_Cyrl	mon	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
ces_Latn	ces	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/ces-x-bible-living.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7289	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ces_Latn-eng_Latn.ces_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ces_Latn-eng_Latn.eng_Latn
san_Deva	san	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/san-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7712	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.san_Deva-eng_Latn.san_Deva	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.san_Deva-eng_Latn.eng_Latn
hye_Armn	hye	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/hye-x-bible-eastern.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	3732	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hye_Armn-eng_Latn.hye_Armn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.hye_Armn-eng_Latn.eng_Latn
pus_Arab	pus	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
som_Arab	som	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
kan_Knda	kan	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/kan-x-bible-jv.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7831	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kan_Knda-eng_Latn.kan_Knda	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kan_Knda-eng_Latn.eng_Latn
isl_Latn	isl	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/isl-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7874	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.isl_Latn-eng_Latn.isl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.isl_Latn-eng_Latn.eng_Latn
ori_Orya	ori	seen	1	missing_source_bible		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
afr_Latn	afr	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/afr-x-bible-1953.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.afr_Latn-eng_Latn.afr_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.afr_Latn-eng_Latn.eng_Latn
deu_Latn	deu	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/deu-x-bible-neue.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.deu_Latn-eng_Latn.deu_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.deu_Latn-eng_Latn.eng_Latn
urd_Arab	urd	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/urd-x-bible-2007.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7894	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.urd_Arab-eng_Latn.urd_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.urd_Arab-eng_Latn.eng_Latn
bul_Cyrl	bul	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/bul-x-bible-1940.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bul_Cyrl-eng_Latn.bul_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.bul_Cyrl-eng_Latn.eng_Latn
tgl_Latn	tgl	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/tgl-x-bible-1905.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tgl_Latn-eng_Latn.tgl_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tgl_Latn-eng_Latn.eng_Latn
eus_Latn	eus	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/eus-x-bible-batua.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7852	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.eus_Latn-eng_Latn.eus_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.eus_Latn-eng_Latn.eng_Latn
pol_Latn	pol	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/pol-x-bible-gdansk.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7934	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.pol_Latn-eng_Latn.pol_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.pol_Latn-eng_Latn.eng_Latn
lat_Latn	lat	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/lat-x-bible-novavulgata.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.lat_Latn-eng_Latn.lat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.lat_Latn-eng_Latn.eng_Latn
tur_Latn	tur	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/tur-x-bible-2004.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7457	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tur_Latn-eng_Latn.tur_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.tur_Latn-eng_Latn.eng_Latn
fra_Latn	fra	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/fra-x-bible-darby.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fra_Latn-eng_Latn.fra_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fra_Latn-eng_Latn.eng_Latn
cat_Latn	cat	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/cat-x-bible-inter.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7936	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.cat_Latn-eng_Latn.cat_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.cat_Latn-eng_Latn.eng_Latn
uig_Arab	uig	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/uig-x-bible-arabic.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7838	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uig_Arab-eng_Latn.uig_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uig_Arab-eng_Latn.eng_Latn
arb_Arab	arb	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/arb-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.arb_Arab-eng_Latn.arb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.arb_Arab-eng_Latn.eng_Latn
sqi_Latn	sqi	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/sqi-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.sqi_Latn-eng_Latn.sqi_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.sqi_Latn-eng_Latn.eng_Latn
sin_Sinh	sin	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/sin-x-bible-newworld.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.sin_Sinh-eng_Latn.sin_Sinh	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.sin_Sinh-eng_Latn.eng_Latn
msa_Latn	msa	seen	1	missing_source_bible		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
swh_Latn	swh	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/swh-x-bible-newworld.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.swh_Latn-eng_Latn.swh_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.swh_Latn-eng_Latn.eng_Latn
kor_Hang	kor	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/kor-x-bible-new.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7938	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kor_Hang-eng_Latn.kor_Hang	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kor_Hang-eng_Latn.eng_Latn
ukr_Cyrl	ukr	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/ukr-x-bible-1871.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ukr_Cyrl-eng_Latn.ukr_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ukr_Cyrl-eng_Latn.eng_Latn
kir_Cyrl	kir	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/kir-x-bible-2005.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7841	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kir_Cyrl-eng_Latn.kir_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kir_Cyrl-eng_Latn.eng_Latn
yid_Hebr	yid	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
heb_Hebr	heb	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/heb-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7714	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.heb_Hebr-eng_Latn.heb_Hebr	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.heb_Hebr-eng_Latn.eng_Latn
nld_Latn	nld	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/nld-x-bible-1951.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.nld_Latn-eng_Latn.nld_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.nld_Latn-eng_Latn.eng_Latn
fry_Latn	fry	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/fry-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fry_Latn-eng_Latn.fry_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.fry_Latn-eng_Latn.eng_Latn
azb_Arab	azb	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/azb-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7908	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.azb_Arab-eng_Latn.azb_Arab	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.azb_Arab-eng_Latn.eng_Latn
glg_Latn	glg	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
fas_Arab	fas	seen	1	missing_source_bible		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
eng_Latn	eng	seen		skipped_not_in_bible_lang_list		/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	0		
mkd_Cyrl	mkd	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/mkd-x-bible-2004.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7940	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mkd_Cyrl-eng_Latn.mkd_Cyrl	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.mkd_Cyrl-eng_Latn.eng_Latn
ind_Latn	ind	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/ind-x-bible-bouma.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7939	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ind_Latn-eng_Latn.ind_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.ind_Latn-eng_Latn.eng_Latn
por_Latn	por	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/por-x-bible-livro.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	5917	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.por_Latn-eng_Latn.por_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.por_Latn-eng_Latn.eng_Latn
spa_Latn	spa	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/spa-x-bible-hablahoi-latina.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7910	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.spa_Latn-eng_Latn.spa_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.spa_Latn-eng_Latn.eng_Latn
dan_Latn	dan	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/dan-x-bible-1931.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7941	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.dan_Latn-eng_Latn.dan_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.dan_Latn-eng_Latn.eng_Latn
khm_Khmr	khm	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/khm-x-bible-2011.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7868	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.khm_Khmr-eng_Latn.khm_Khmr	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.khm_Khmr-eng_Latn.eng_Latn
gla_Latn	gla	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/gla-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7931	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.gla_Latn-eng_Latn.gla_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.gla_Latn-eng_Latn.eng_Latn
uig_Latn	uig	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/uig-x-bible-romanized.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	7838	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uig_Latn-eng_Latn.uig_Latn	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.uig_Latn-eng_Latn.eng_Latn
kat_Geor	kat	seen	1	ready	/disk3/moon/paralleltext/bibles/corpus/kat-x-bible.txt	/disk3/moon/paralleltext/bibles/corpus/eng-x-bible-basic.txt	4868	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kat_Geor-eng_Latn.kat_Geor	/home/axt/mnt2/jongha/v5_1_glot50010/eval_data_download/retrieval_bible/bible.kat_Geor-eng_Latn.eng_Latn
