task	language_script	group	source	status
Sentence Retrieval Tatoeba	lit_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	kaz_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	bos_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	epo_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	cat_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tha_Thai	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ukr_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tgl_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	gle_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	hin_Deva	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	kor_Hang	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	urd_Arab	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	sqi_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	bel_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	afr_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	nno_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tat_Cyrl	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ast_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	mon_Cyrl	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	arz_Arab	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tam_Taml	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	uzb_Cyrl	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	amh_Ethi	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	war_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	fao_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	hye_Armn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	oci_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	xho_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	cym_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	lat_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	kat_Geor	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	fry_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	nds_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	zsm_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	bre_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	tuk_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	khm_Khmr	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	jpn_Jpan	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	yue_Hani	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	gsw_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	lvs_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	kur_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ido_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	uig_Arab	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	pam_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	pms_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	wuu_Hani	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	yid_Hebr	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ina_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	kab_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	gla_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	cbk_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	hsb_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	mhr_Cyrl	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	swh_Latn	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	cmn_Hani	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	pes_Arab	head	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	dtp_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	lfn_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	ile_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Tatoeba	csb_Latn	tail	evaluation/retrieval/tatoeba_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mal_Mlym	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	aze_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	guj_Gujr	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ben_Beng	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kan_Knda	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tel_Telu	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mlt_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fra_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	spa_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fil_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nob_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	rus_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	deu_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tur_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	pan_Guru	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mar_Deva	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	por_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nld_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	zho_Hani	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ita_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ind_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ell_Grek	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bul_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	swe_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ces_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	isl_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	pol_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ron_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	dan_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hun_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tgk_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	srp_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fas_Arab	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ceb_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	heb_Hebr	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hrv_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fin_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	slv_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	vie_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mkd_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	slk_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nor_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	est_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ltz_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	eus_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lit_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kaz_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lav_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	epo_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	cat_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tha_Thai	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ukr_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tgl_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sin_Sinh	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	gle_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hin_Deva	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kor_Hang	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ory_Orya	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	urd_Arab	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sqi_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bel_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	afr_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nno_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tat_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hau_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sna_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	msa_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	som_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	srp_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mlg_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	zul_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	arz_Arab	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nya_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tam_Taml	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hat_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	uzb_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sot_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	uzb_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	als_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	amh_Ethi	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sun_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	war_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	yor_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fao_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	uzn_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	smo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bak_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ilo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tso_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mri_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	asm_Beng	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hil_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nso_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ibo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kin_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hye_Armn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lin_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tpi_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	twi_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kir_Cyrl	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	pap_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nep_Deva	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bcl_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	xho_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	cym_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	gaa_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ton_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lat_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	srn_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ewe_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bem_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	efi_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bis_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	haw_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	hmo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	kat_Geor	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	pag_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	loz_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fry_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mya_Mymr	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nds_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	run_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	rar_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	fij_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ckb_Arab	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ven_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	zsm_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	chv_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	sag_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	guw_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	bre_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	toi_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	che_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	pis_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	oss_Cyrl	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	nan_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tuk_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tir_Ethi	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	yua_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	min_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	khm_Khmr	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tum_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lug_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	tzo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	mah_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	jav_Latn	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	jpn_Jpan	head	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	lus_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	crs_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
Sentence Retrieval Bible	ndo_Latn	tail	evaluation/retrieval/bible_lang_list.txt	exact_matches_user_table
