task	language_script	group	unit	has_data	train_count	dev_count	test_count	pair_or_sample_count	source_path	notes
pseudoperplexity_heldout	som_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	kan_Knda	head	raw text examples	yes	41803904	1000	1000	41805904	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	kan_Knda	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	isl_Latn	head	raw text examples	yes	19544858	1000	1000	19546858	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	isl_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ori_Orya	head	raw text examples	yes	400076	1000	1000	402076	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ori_Orya	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	afr_Latn	head	raw text examples	yes	5154807	1000	1000	5156807	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	afr_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	deu_Latn	head	raw text examples	yes	31013917	1000	1000	31015917	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	deu_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	urd_Arab	head	raw text examples	yes	6006751	1000	1000	6008751	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	urd_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	bul_Cyrl	head	raw text examples	yes	21820051	1000	1000	21822051	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	bul_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	tgl_Latn	head	raw text examples	yes	7407827	1000	1000	7409827	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	tgl_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	eus_Latn	head	raw text examples	yes	12772851	1000	1000	12774851	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	eus_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	pol_Latn	head	raw text examples	yes	19336808	1000	1000	19338808	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	pol_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	lat_Latn	head	raw text examples	yes	1147896	1000	1000	1149896	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	lat_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	tur_Latn	head	raw text examples	yes	29180577	1000	1000	29182577	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	tur_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	fra_Latn	head	raw text examples	yes	39194744	1000	1000	39196744	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	fra_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	cat_Latn	head	raw text examples	yes	8630854	1000	1000	8632854	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	cat_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	uig_Arab	head	raw text examples	yes	296694	1000	1000	298694	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	uig_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	arb_Arab	head	raw text examples	yes	7697	1000	1000	9697	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	arb_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	sqi_Latn	head	raw text examples	yes	5471093	1000	1000	5473093	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	sqi_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	sin_Sinh	head	raw text examples	yes	7290412	1000	1000	7292412	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	sin_Sinh	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	msa_Latn	head	raw text examples	yes	3892332	1000	1000	3894332	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	msa_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	swh_Latn	head	raw text examples	yes	41876	1000	1000	43876	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	swh_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	kor_Hang	head	raw text examples	yes	6346091	1000	1000	6348091	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	kor_Hang	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ukr_Cyrl	head	raw text examples	yes	7435153	1000	1000	7437153	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ukr_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	kir_Cyrl	head	raw text examples	yes	1332662	1000	1000	1334662	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	kir_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	yid_Hebr	head	raw text examples	yes	216222	1000	1000	218222	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	yid_Hebr	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	heb_Hebr	head	raw text examples	yes	18124264	1000	1000	18126264	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	heb_Hebr	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	nld_Latn	head	raw text examples	yes	25058543	1000	1000	25060543	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	nld_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	fry_Latn	head	raw text examples	yes	923801	1000	1000	925801	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	fry_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	azb_Arab	head	raw text examples	yes	1	940	940	1881	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	azb_Arab	head	raw text examples	yes	0	940	940	1880	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	glg_Latn	head	raw text examples	yes	17846822	1000	1000	17848822	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	glg_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	fas_Arab	head	raw text examples	yes	18235931	1000	1000	18237931	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	fas_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	eng_Latn	head	raw text examples	yes	36119560	1000	1000	36121560	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	eng_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	mkd_Cyrl	head	raw text examples	yes	14713827	1000	1000	14715827	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	mkd_Cyrl	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ind_Latn	head	raw text examples	yes	23015064	1000	1000	23017064	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ind_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	por_Latn	head	raw text examples	yes	27820986	1000	1000	27822986	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	por_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	spa_Latn	head	raw text examples	yes	37283157	1000	1000	37285157	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	spa_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	dan_Latn	head	raw text examples	yes	19170974	1000	1000	19172974	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	dan_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	khm_Khmr	head	raw text examples	yes	563794	1000	1000	565794	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	khm_Khmr	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	gla_Latn	head	raw text examples	yes	122953	1000	1000	124953	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	gla_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	uig_Latn	head	raw text examples	yes	1	852	852	1705	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	uig_Latn	head	raw text examples	yes	0	852	852	1704	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	kat_Geor	head	raw text examples	yes	988785	1000	1000	990785	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	kat_Geor	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	mlg_Latn	head	raw text examples	yes	3701137	1000	1000	3703137	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	mlg_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	snd_Arab	head	raw text examples	yes	476110	1000	1000	478110	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	snd_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	ita_Latn	head	raw text examples	yes	23536832	1000	1000	23538832	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	ita_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	hau_Arab	head	raw text examples	yes	5594	1000	1000	7594	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	hau_Arab	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	cym_Latn	head	raw text examples	yes	1161276	1000	1000	1163276	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	cym_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	srp_Latn	head	raw text examples	yes	18369143	1000	1000	18371143	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	srp_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	zho_Hani	head	raw text examples	yes	24071937	1000	1000	24073937	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	zho_Hani	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	tha_Thai	head	raw text examples	yes	7625697	1000	1000	7627697	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	tha_Thai	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	swe_Latn	head	raw text examples	yes	20723321	1000	1000	20725321	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	swe_Latn	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
raw_text_strict_split	pan_Guru	head	raw text examples	yes	29023289	1000	1000	29025289	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PASS
pseudoperplexity_heldout	pan_Guru	head	raw text examples	yes	0	1000	1000	2000	0_tokenizer/00_data_scope/strict_data_composition_by_language.tsv	PPPL uses held-out split; test is the final reporting split.
